definition,definition_label,turn,group,group_label,rows,mean_reasoning_tokens
mha_bwd_d128_causal,MHA bwd d128 causal,7,regular-patched,Regular patched,8,26591.125000
mha_with_lse_d128,MHA fwd d128,0,linfo-singleuser,Linfo single-user,8,32459.750000
mha_with_lse_d128,MHA fwd d128,0,regular-patched,Regular patched,8,25259.875000
mha_with_lse_d128,MHA fwd d128,1,linfo-singleuser,Linfo single-user,8,26124.875000
mha_with_lse_d128,MHA fwd d128,1,regular-patched,Regular patched,8,32178.250000
mha_with_lse_d128,MHA fwd d128,2,linfo-singleuser,Linfo single-user,8,23206.750000
mha_with_lse_d128,MHA fwd d128,2,regular-patched,Regular patched,8,17347.000000
mha_with_lse_d128,MHA fwd d128,3,linfo-singleuser,Linfo single-user,8,26584.125000
mha_with_lse_d128,MHA fwd d128,3,regular-patched,Regular patched,8,21811.625000
mha_with_lse_d128,MHA fwd d128,4,linfo-singleuser,Linfo single-user,8,10564.000000
mha_with_lse_d128,MHA fwd d128,4,regular-patched,Regular patched,8,24755.125000
mha_with_lse_d128,MHA fwd d128,5,linfo-singleuser,Linfo single-user,8,20569.375000
mha_with_lse_d128,MHA fwd d128,5,regular-patched,Regular patched,8,15482.250000
mha_with_lse_d128,MHA fwd d128,6,linfo-singleuser,Linfo single-user,8,15728.500000
mha_with_lse_d128,MHA fwd d128,6,regular-patched,Regular patched,8,20142.000000
mha_with_lse_d128,MHA fwd d128,7,linfo-singleuser,Linfo single-user,8,18558.750000
mha_with_lse_d128,MHA fwd d128,7,regular-patched,Regular patched,8,19145.750000
mha_with_lse_d128_causal,MHA fwd d128 causal,0,linfo-singleuser,Linfo single-user,8,16182.000000
mha_with_lse_d128_causal,MHA fwd d128 causal,0,regular-patched,Regular patched,8,13319.625000
mha_with_lse_d128_causal,MHA fwd d128 causal,1,linfo-singleuser,Linfo single-user,8,30583.875000
mha_with_lse_d128_causal,MHA fwd d128 causal,1,regular-patched,Regular patched,8,38975.875000
mha_with_lse_d128_causal,MHA fwd d128 causal,2,linfo-singleuser,Linfo single-user,8,23839.500000
mha_with_lse_d128_causal,MHA fwd d128 causal,2,regular-patched,Regular patched,8,32698.625000
mha_with_lse_d128_causal,MHA fwd d128 causal,3,linfo-singleuser,Linfo single-user,8,18420.125000
mha_with_lse_d128_causal,MHA fwd d128 causal,3,regular-patched,Regular patched,8,27238.500000
mha_with_lse_d128_causal,MHA fwd d128 causal,4,linfo-singleuser,Linfo single-user,8,27077.750000
mha_with_lse_d128_causal,MHA fwd d128 causal,4,regular-patched,Regular patched,8,27318.375000
mha_with_lse_d128_causal,MHA fwd d128 causal,5,linfo-singleuser,Linfo single-user,8,15647.500000
mha_with_lse_d128_causal,MHA fwd d128 causal,5,regular-patched,Regular patched,8,20609.500000
mha_with_lse_d128_causal,MHA fwd d128 causal,6,linfo-singleuser,Linfo single-user,8,15292.375000
mha_with_lse_d128_causal,MHA fwd d128 causal,6,regular-patched,Regular patched,8,21329.625000
mha_with_lse_d128_causal,MHA fwd d128 causal,7,linfo-singleuser,Linfo single-user,8,16834.125000
mha_with_lse_d128_causal,MHA fwd d128 causal,7,regular-patched,Regular patched,8,25288.500000
