definition,causal,S,D,tensor,dtype,shape,numel,finite_count,nan_count,posinf_count,neginf_count,zero_count,min,max,mean,std,absmax,absmax_count,q001,q01,q50,q99,q999,descale_q,descale_k,descale_v
normal_fp8_mha_with_lse_d64,False,16384,64,O,float8_e4m3fn,"[4, 48, 16384, 64]",201326592,201326592,0,0,0,12300141,-0.140625,0.1171875,-0.00017574228695593774,0.012921149842441082,0.140625,1,-0.04296875,-0.03125,-0.0,0.029296875,0.04296875,0.0130440853536129,0.0135323666036129,0.012834821827709675
normal_fp8_mha_with_lse_d64,False,16384,64,LSE,float32,"[4, 48, 16384]",3145728,3145728,0,0,0,0,9.873098373413086,10.740677833557129,10.203033447265625,0.08906499296426773,10.740677833557129,1,9.973054885864258,10.01961612701416,10.197617530822754,10.433451652526855,10.526724815368652,0.0130440853536129,0.0135323666036129,0.012834821827709675
normal_fp8_mha_with_lse_d128,False,512,128,O,float8_e4m3fn,"[4, 48, 512, 128]",12582912,12582912,0,0,0,137292,-0.6875,0.625,0.00013055435556452721,0.07253909856081009,0.6875,2,-0.234375,-0.171875,-0.0,0.171875,0.234375,0.012346540577709675,0.01213727705180645,0.01213727705180645
normal_fp8_mha_with_lse_d128,False,512,128,LSE,float32,"[4, 48, 512]",98304,98304,0,0,0,0,6.4464287757873535,7.251426696777344,6.736174583435059,0.08499442785978317,7.251426696777344,1,6.508228778839111,6.557489395141602,6.731734275817871,6.956017971038818,7.046135425567627,0.012346540577709675,0.01213727705180645,0.01213727705180645
normal_fp8_mha_with_lse_d128,False,1024,128,O,float8_e4m3fn,"[4, 48, 1024, 128]",25165824,25165824,0,0,0,387196,-0.9375,1.0,-9.583977225702256e-05,0.05136045813560486,1.0,2,-0.171875,-0.1171875,0.0,0.1171875,0.15625,0.011858259327709675,0.0130440853536129,0.012904576025903225
normal_fp8_mha_with_lse_d128,False,1024,128,LSE,float32,"[4, 48, 1024]",196608,196608,0,0,0,0,7.154841899871826,7.971584320068359,7.429958343505859,0.07449521124362946,7.971584320068359,1,7.229414463043213,7.272372245788574,7.426456451416016,7.620568752288818,7.691279888153076,0.011858259327709675,0.0130440853536129,0.012904576025903225
normal_fp8_mha_with_lse_d128,False,2048,128,O,float8_e4m3fn,"[4, 48, 2048, 128]",50331648,50331648,0,0,0,1084517,-0.34375,0.375,-1.7343205399811268e-05,0.03648266941308975,0.375,1,-0.1171875,-0.0859375,0.0,0.0859375,0.1171875,0.012765067629516125,0.01213727705180645,0.0125558041036129
normal_fp8_mha_with_lse_d128,False,2048,128,LSE,float32,"[4, 48, 2048]",393216,393216,0,0,0,0,7.882179260253906,8.572426795959473,8.122588157653809,0.06887616962194443,8.572426795959473,1,7.937501430511475,7.976395130157471,8.119318008422852,8.297818183898926,8.363266944885254,0.012765067629516125,0.01213727705180645,0.0125558041036129
normal_fp8_mha_with_lse_d128,False,4096,128,O,float8_e4m3fn,"[4, 48, 4096, 128]",100663296,100663296,0,0,0,3062436,-0.3125,0.375,9.99184776446782e-05,0.025828462094068527,0.375,1,-0.078125,-0.05859375,-0.0,0.05859375,0.078125,0.0133928582072258,0.013253348879516125,0.012346540577709675
normal_fp8_mha_with_lse_d128,False,4096,128,LSE,float32,"[4, 48, 4096]",786432,786432,0,0,0,0,8.563787460327148,9.204246520996094,8.817211151123047,0.06586513668298721,9.204246520996094,1,8.638017654418945,8.676661491394043,8.814217567443848,8.98365592956543,9.04853343963623,0.0133928582072258,0.013253348879516125,0.012346540577709675
normal_fp8_mha_with_lse_d128,False,8192,128,O,float8_e4m3fn,"[4, 48, 8192, 128]",201326592,201326592,0,0,0,8644236,-0.15625,0.203125,-6.676025077467784e-05,0.018268857151269913,0.203125,1,-0.05859375,-0.04296875,-0.0,0.04296875,0.05859375,0.013811384327709675,0.0130440853536129,0.01395089365541935
normal_fp8_mha_with_lse_d128,False,8192,128,LSE,float32,"[4, 48, 8192]",1572864,1572864,0,0,0,0,9.257277488708496,9.868436813354492,9.509902954101562,0.06418091058731079,9.868436813354492,1,9.335659980773926,9.372750282287598,9.507036209106445,9.671724319458008,9.732431411743164,0.013811384327709675,0.0130440853536129,0.01395089365541935
normal_fp8_mha_with_lse_d128,False,16384,128,O,float8_e4m3fn,"[4, 48, 16384, 128]",402653184,402653184,0,0,0,24515643,-0.125,0.1015625,-2.478724923093978e-07,0.012871696613729,0.125,1,-0.0390625,-0.029296875,0.0,0.029296875,0.0390625,0.01360212080180645,0.0130440853536129,0.013323103077709675
normal_fp8_mha_with_lse_d128,False,16384,128,LSE,float32,"[4, 48, 16384]",3145728,3145728,0,0,0,0,9.955453872680664,10.598987579345703,10.20248031616211,0.06332556158304214,10.598987579345703,1,10.029891967773438,10.066736221313477,10.199633598327637,10.361637115478516,10.421012878417969,0.01360212080180645,0.0130440853536129,0.013323103077709675
normal_fp8_mha_with_lse_d256,False,512,256,O,float8_e4m3fn,"[4, 48, 512, 256]",25165824,25165824,0,0,0,275422,-0.875,0.8125,-0.00027536702691577375,0.07236696779727936,0.875,1,-0.234375,-0.171875,0.0,0.171875,0.234375,0.012416294775903225,0.011718750931322575,0.012276786379516125
normal_fp8_mha_with_lse_d256,False,512,256,LSE,float32,"[4, 48, 512]",98304,98304,0,0,0,0,6.47006893157959,7.106668472290039,6.735579490661621,0.07251380383968353,7.106668472290039,1,6.53347635269165,6.579168796539307,6.7325873374938965,6.917392253875732,6.986546993255615,0.012416294775903225,0.011718750931322575,0.012276786379516125
normal_fp8_mha_with_lse_d256,False,1024,256,O,float8_e4m3fn,"[4, 48, 1024, 256]",50331648,50331648,0,0,0,770157,-0.5625,0.6875,-5.869222150067799e-05,0.0513138547539711,0.6875,1,-0.15625,-0.1171875,0.0,0.1171875,0.15625,0.012207032181322575,0.012695313431322575,0.012416294775903225
normal_fp8_mha_with_lse_d256,False,1024,256,LSE,float32,"[4, 48, 1024]",196608,196608,0,0,0,0,7.184211730957031,7.7603302001953125,7.429851531982422,0.06020054221153259,7.7603302001953125,1,7.260406970977783,7.299304008483887,7.427551746368408,7.5801920890808105,7.639654636383057,0.012207032181322575,0.012695313431322575,0.012416294775903225
normal_fp8_mha_with_lse_d256,False,2048,256,O,float8_e4m3fn,"[4, 48, 2048, 256]",100663296,100663296,0,0,0,2169426,-0.34375,0.40625,-0.00019850401440635324,0.03637538477778435,0.40625,1,-0.1171875,-0.0859375,0.0,0.0859375,0.1171875,0.013323103077709675,0.012834821827709675,0.01262555830180645
normal_fp8_mha_with_lse_d256,False,2048,256,LSE,float32,"[4, 48, 2048]",393216,393216,0,0,0,0,7.924319267272949,8.435755729675293,8.124418258666992,0.053000468760728836,8.435755729675293,1,7.976861476898193,8.009299278259277,8.122450828552246,8.255738258361816,8.304794311523438,0.013323103077709675,0.012834821827709675,0.01262555830180645
normal_fp8_mha_with_lse_d256,False,4096,256,O,float8_e4m3fn,"[4, 48, 4096, 256]",201326592,201326592,0,0,0,6126184,-0.234375,0.234375,2.1523699615499936e-05,0.025741618126630783,0.234375,2,-0.078125,-0.05859375,0.0,0.05859375,0.078125,0.013183594681322575,0.01395089365541935,0.01311383955180645
normal_fp8_mha_with_lse_d256,False,4096,256,LSE,float32,"[4, 48, 4096]",786432,786432,0,0,0,0,8.614609718322754,9.092696189880371,8.81631851196289,0.04866794869303703,9.092696189880371,1,8.679424285888672,8.710318565368652,8.814807891845703,8.937092781066895,8.981432914733887,0.013183594681322575,0.01395089365541935,0.01311383955180645
normal_fp8_mha_with_lse_d256,False,8192,256,O,float8_e4m3fn,"[4, 48, 8192, 256]",402653184,402653184,0,0,0,17335411,-0.171875,0.171875,5.979137495160103e-05,0.01817251741886139,0.171875,5,-0.05859375,-0.04296875,0.0,0.04296875,0.05859375,0.013671875931322575,0.0130440853536129,0.013253348879516125
normal_fp8_mha_with_lse_d256,False,8192,256,LSE,float32,"[4, 48, 8192]",1572864,1572864,0,0,0,0,9.306947708129883,9.805097579956055,9.507080078125,0.046206291764974594,9.805097579956055,1,9.376214027404785,9.406122207641602,9.505594253540039,9.620955467224121,9.6618070602417,0.013671875931322575,0.0130440853536129,0.013253348879516125
normal_fp8_mha_with_lse_d256,False,16384,256,O,float8_e4m3fn,"[4, 48, 16384, 256]",805306368,805306368,0,0,0,48932429,-0.09375,0.0859375,-3.677879067254253e-05,0.012857822701334953,0.09375,3,-0.0390625,-0.029296875,0.0,0.029296875,0.0390625,0.0138811394572258,0.0140206478536129,0.01311383955180645
normal_fp8_mha_with_lse_d256,False,16384,256,LSE,float32,"[4, 48, 16384]",3145728,3145728,0,0,0,0,10.00449275970459,10.500602722167969,10.202162742614746,0.04528011009097099,10.500602722167969,1,10.074196815490723,10.103042602539062,10.200697898864746,10.313159942626953,10.354849815368652,0.0138811394572258,0.0140206478536129,0.01311383955180645
normal_fp8_mha_with_lse_d64_causal,True,512,64,O,float8_e4m3fn,"[4, 48, 512, 64]",6291456,6291456,0,0,0,46756,-4.5,4.0,-0.0006767166778445244,0.16270476579666138,4.5,1,-1.0,-0.46875,0.0,0.4375,1.125,0.011300223879516125,0.01199776865541935,0.012207032181322575
normal_fp8_mha_with_lse_d64_causal,True,512,64,LSE,float32,"[4, 48, 512]",98304,98304,0,0,0,0,-3.1996283531188965,7.322285175323486,5.7351484298706055,1.0094707012176514,7.322285175323486,1,-0.1292494684457779,2.081042528152466,6.037812232971191,6.842499256134033,6.979438781738281,0.011300223879516125,0.01199776865541935,0.012207032181322575
normal_fp8_mha_with_lse_d64_causal,True,1024,64,O,float8_e4m3fn,"[4, 48, 1024, 64]",12582912,12582912,0,0,0,130631,-4.0,3.5,-0.0005591182853095233,0.12296829372644424,4.0,1,-0.8125,-0.34375,0.0,0.34375,0.875,0.01164899580180645,0.011928013525903225,0.011928013525903225
normal_fp8_mha_with_lse_d64_causal,True,1024,64,LSE,float32,"[4, 48, 1024]",196608,196608,0,0,0,0,-3.4592838287353516,7.8530426025390625,6.429324626922607,1.0070858001708984,7.8530426025390625,1,0.5221351385116577,2.7906653881073,6.731019973754883,7.522130489349365,7.644395351409912,0.01164899580180645,0.011928013525903225,0.011928013525903225
normal_fp8_mha_with_lse_d64_causal,True,2048,64,O,float8_e4m3fn,"[4, 48, 2048, 64]",25165824,25165824,0,0,0,364976,-4.0,3.5,-0.0003675398766063154,0.09184595942497253,4.0,1,-0.625,-0.25,0.0,0.25,0.6875,0.0130440853536129,0.012207032181322575,0.0125558041036129
normal_fp8_mha_with_lse_d64_causal,True,2048,64,LSE,float32,"[4, 48, 2048]",393216,393216,0,0,0,0,-2.609454393386841,8.55847454071045,7.122722625732422,1.0062705278396606,8.55847454071045,1,1.1138935089111328,3.489971160888672,7.426197528839111,8.207975387573242,8.3302001953125,0.0130440853536129,0.012207032181322575,0.0125558041036129
normal_fp8_mha_with_lse_d64_causal,True,4096,64,O,float8_e4m3fn,"[4, 48, 4096, 64]",50331648,50331648,0,0,0,1028242,-4.0,4.0,-2.7899941414943896e-05,0.06880772113800049,4.0,3,-0.5,-0.171875,0.0,0.171875,0.5,0.0130440853536129,0.01311383955180645,0.012834821827709675
normal_fp8_mha_with_lse_d64_causal,True,4096,64,LSE,float32,"[4, 48, 4096]",786432,786432,0,0,0,0,-2.400970697402954,9.246950149536133,7.815596580505371,1.0055365562438965,9.246950149536133,1,1.8032587766647339,4.209976673126221,8.118324279785156,8.89806079864502,9.010139465332031,0.0130440853536129,0.01311383955180645,0.012834821827709675
normal_fp8_mha_with_lse_d64_causal,True,8192,64,O,float8_e4m3fn,"[4, 48, 8192, 64]",100663296,100663296,0,0,0,2915699,-4.0,4.0,3.458639184827916e-05,0.050778117030858994,4.0,2,-0.375,-0.125,0.0,0.125,0.375,0.0130440853536129,0.012416294775903225,0.012765067629516125
normal_fp8_mha_with_lse_d64_causal,True,8192,64,LSE,float32,"[4, 48, 8192]",1572864,1572864,0,0,0,0,-2.559603452682495,10.005208969116211,8.509357452392578,1.0049916505813599,10.005208969116211,1,2.566978693008423,4.891060829162598,8.813175201416016,9.588483810424805,9.702653884887695,0.0130440853536129,0.012416294775903225,0.012765067629516125
normal_fp8_mha_with_lse_d64_causal,True,16384,64,O,float8_e4m3fn,"[4, 48, 16384, 64]",201326592,201326592,0,0,0,8199720,-4.0,4.0,1.9648578017950058e-05,0.03753430023789406,4.0,3,-0.28125,-0.09375,0.0,0.0859375,0.25,0.0130440853536129,0.01297433115541935,0.01395089365541935
normal_fp8_mha_with_lse_d64_causal,True,16384,64,LSE,float32,"[4, 48, 16384]",3145728,3145728,0,0,0,0,-2.1880815029144287,10.691267013549805,9.20324993133545,1.0044219493865967,10.691267013549805,1,3.2895288467407227,5.594115734100342,9.505861282348633,10.282447814941406,10.393970489501953,0.0130440853536129,0.01297433115541935,0.01395089365541935
normal_fp8_mha_with_lse_d128_causal,True,512,128,O,float8_e4m3fn,"[4, 48, 512, 128]",12582912,12582912,0,0,0,93074,-4.5,4.5,0.00018606474623084068,0.16264110803604126,4.5,2,-1.125,-0.4375,0.0,0.4375,1.125,0.01164899580180645,0.01213727705180645,0.01213727705180645
normal_fp8_mha_with_lse_d128_causal,True,512,128,LSE,float32,"[4, 48, 512]",98304,98304,0,0,0,0,-2.4979944229125977,7.260310173034668,5.736177444458008,1.008490800857544,7.260310173034668,1,-0.15759673714637756,2.0758774280548096,6.042196273803711,6.811123371124268,6.915511131286621,0.01164899580180645,0.01213727705180645,0.01213727705180645
normal_fp8_mha_with_lse_d128_causal,True,1024,128,O,float8_e4m3fn,"[4, 48, 1024, 128]",25165824,25165824,0,0,0,260089,-4.5,4.0,-0.0002694801369216293,0.1223975419998169,4.5,2,-0.875,-0.34375,0.0,0.34375,0.8125,0.011928013525903225,0.01213727705180645,0.012276786379516125
normal_fp8_mha_with_lse_d128_causal,True,1024,128,LSE,float32,"[4, 48, 1024]",196608,196608,0,0,0,0,-2.520563840866089,7.733180522918701,6.428866863250732,1.006838083267212,7.733180522918701,1,0.42899683117866516,2.784921646118164,6.73330020904541,7.487332344055176,7.584481716156006,0.011928013525903225,0.01213727705180645,0.012276786379516125
normal_fp8_mha_with_lse_d128_causal,True,2048,128,O,float8_e4m3fn,"[4, 48, 2048, 128]",50331648,50331648,0,0,0,729844,-4.5,3.75,0.00017555337399244308,0.09172158688306808,4.5,1,-0.625,-0.25,0.0,0.25,0.625,0.013323103077709675,0.01311383955180645,0.012695313431322575
normal_fp8_mha_with_lse_d128_causal,True,2048,128,LSE,float32,"[4, 48, 2048]",393216,393216,0,0,0,0,-2.0765209197998047,8.448515892028809,7.122640132904053,1.004199504852295,8.448515892028809,1,1.1417896747589111,3.503925085067749,7.428005218505859,8.172513961791992,8.257701873779297,0.013323103077709675,0.01311383955180645,0.012695313431322575
normal_fp8_mha_with_lse_d128_causal,True,4096,128,O,float8_e4m3fn,"[4, 48, 4096, 128]",100663296,100663296,0,0,0,2050844,-4.0,4.0,0.00010924258822342381,0.06831197440624237,4.0,2,-0.5,-0.171875,0.0,0.171875,0.5,0.0125558041036129,0.012207032181322575,0.0130440853536129
normal_fp8_mha_with_lse_d128_causal,True,4096,128,LSE,float32,"[4, 48, 4096]",786432,786432,0,0,0,0,-2.976266384124756,9.126873016357422,7.816405296325684,1.003543496131897,9.126873016357422,1,1.8127471208572388,4.202205657958984,8.121620178222656,8.861127853393555,8.944127082824707,0.0125558041036129,0.012207032181322575,0.0130440853536129
normal_fp8_mha_with_lse_d128_causal,True,8192,128,O,float8_e4m3fn,"[4, 48, 8192, 128]",201326592,201326592,0,0,0,5794229,-4.0,4.0,-0.00010439286415930837,0.05065061151981354,4.0,2,-0.375,-0.125,0.0,0.125,0.34375,0.01395089365541935,0.01248604990541935,0.012695313431322575
normal_fp8_mha_with_lse_d128_causal,True,8192,128,LSE,float32,"[4, 48, 8192]",1572864,1572864,0,0,0,0,-3.7436904907226562,9.812328338623047,8.509485244750977,1.0029449462890625,9.812328338623047,1,2.5719449520111084,4.904541969299316,8.815074920654297,9.551495552062988,9.633430480957031,0.01395089365541935,0.01248604990541935,0.012695313431322575
normal_fp8_mha_with_lse_d128_causal,True,16384,128,O,float8_e4m3fn,"[4, 48, 16384, 128]",402653184,402653184,0,0,0,16303889,-4.0,4.0,-6.576252053491771e-05,0.03746766224503517,4.0,3,-0.25,-0.0859375,-0.0,0.09375,0.25,0.01443917490541935,0.012904576025903225,0.012904576025903225
normal_fp8_mha_with_lse_d128_causal,True,16384,128,LSE,float32,"[4, 48, 16384]",3145728,3145728,0,0,0,0,-2.9046971797943115,10.504186630249023,9.202983856201172,1.0024958848953247,10.504186630249023,1,3.23886775970459,5.598518371582031,9.507712364196777,10.244595527648926,10.323363304138184,0.01443917490541935,0.012904576025903225,0.012904576025903225
normal_fp8_mha_with_lse_d256_causal,True,512,256,O,float8_e4m3fn,"[4, 48, 512, 256]",25165824,25165824,0,0,0,186250,-4.0,4.0,-0.0006256252527236938,0.16194261610507965,4.0,4,-1.0,-0.46875,0.0,0.4375,1.0,0.012695313431322575,0.01213727705180645,0.0120675228536129
normal_fp8_mha_with_lse_d256_causal,True,512,256,LSE,float32,"[4, 48, 512]",98304,98304,0,0,0,0,-3.206540822982788,7.023033142089844,5.735642910003662,1.0071098804473877,7.023033142089844,1,-0.229803204536438,2.085965394973755,6.04202127456665,6.793986797332764,6.882826805114746,0.012695313431322575,0.01213727705180645,0.0120675228536129
normal_fp8_mha_with_lse_d256_causal,True,1024,256,O,float8_e4m3fn,"[4, 48, 1024, 256]",50331648,50331648,0,0,0,522248,-4.0,4.0,8.872295438777655e-05,0.12224306911230087,4.0,8,-0.8125,-0.34375,0.0,0.34375,0.8125,0.01360212080180645,0.01311383955180645,0.012416294775903225
normal_fp8_mha_with_lse_d256_causal,True,1024,256,LSE,float32,"[4, 48, 1024]",196608,196608,0,0,0,0,-3.0209765434265137,7.672600269317627,6.42807149887085,1.0046559572219849,7.672600269317627,1,0.4647549092769623,2.7832963466644287,6.733370780944824,7.466616630554199,7.538175582885742,0.01360212080180645,0.01311383955180645,0.012416294775903225
normal_fp8_mha_with_lse_d256_causal,True,2048,256,O,float8_e4m3fn,"[4, 48, 2048, 256]",100663296,100663296,0,0,0,1457642,-4.0,4.5,-1.555044946144335e-05,0.09157459437847137,4.5,2,-0.625,-0.25,-0.0,0.25,0.625,0.0125558041036129,0.012765067629516125,0.01360212080180645
normal_fp8_mha_with_lse_d256_causal,True,2048,256,LSE,float32,"[4, 48, 2048]",393216,393216,0,0,0,0,-2.7817447185516357,8.341839790344238,7.121915817260742,1.0043317079544067,8.341839790344238,1,1.0729230642318726,3.4965717792510986,7.428840160369873,8.150607109069824,8.21921157836914,0.0125558041036129,0.012765067629516125,0.01360212080180645
normal_fp8_mha_with_lse_d256_causal,True,4096,256,O,float8_e4m3fn,"[4, 48, 4096, 256]",201326592,201326592,0,0,0,4095587,-4.0,3.75,2.2816841010353528e-05,0.0682537630200386,4.0,2,-0.5,-0.171875,-0.0,0.171875,0.5,0.0130440853536129,0.01346261240541935,0.013183594681322575
normal_fp8_mha_with_lse_d256_causal,True,4096,256,LSE,float32,"[4, 48, 4096]",786432,786432,0,0,0,0,-2.640082359313965,9.023798942565918,7.817070007324219,1.0025913715362549,9.023798942565918,1,1.8616368770599365,4.202690124511719,8.122998237609863,8.841194152832031,8.903839111328125,0.0130440853536129,0.01346261240541935,0.013183594681322575
normal_fp8_mha_with_lse_d256_causal,True,8192,256,O,float8_e4m3fn,"[4, 48, 8192, 256]",402653184,402653184,0,0,0,11536699,-4.5,4.5,-7.897710747784004e-05,0.05059809237718582,4.5,2,-0.375,-0.125,0.0,0.125,0.375,0.0130440853536129,0.012904576025903225,0.013741630129516125
normal_fp8_mha_with_lse_d256_causal,True,8192,256,LSE,float32,"[4, 48, 8192]",1572864,1572864,0,0,0,0,-4.044931411743164,9.705933570861816,8.510056495666504,1.0020042657852173,9.705933570861816,1,2.577524185180664,4.901566028594971,8.815793991088867,9.53144645690918,9.589903831481934,0.0130440853536129,0.012904576025903225,0.013741630129516125
normal_fp8_mha_with_lse_d256_causal,True,16384,256,O,float8_e4m3fn,"[4, 48, 16384, 256]",805306368,805306368,0,0,0,32660512,-4.5,4.0,-1.3443108400679193e-05,0.03734052926301956,4.5,3,-0.25,-0.0859375,-0.0,0.0859375,0.28125,0.0133928582072258,0.01360212080180645,0.01360212080180645
normal_fp8_mha_with_lse_d256_causal,True,16384,256,LSE,float32,"[4, 48, 16384]",3145728,3145728,0,0,0,0,-3.3996806144714355,10.417923927307129,9.20264720916748,1.0017269849777222,10.417923927307129,1,3.2657556533813477,5.598923206329346,9.508760452270508,10.222267150878906,10.280731201171875,0.0133928582072258,0.01360212080180645,0.01360212080180645
