exp_index,definition,final_label,qwen_vs_gemini_line_ratio,equal_lines,replace_lines,insert_lines,delete_lines
70,mha_bwd_d128,timeout,0.2807,171,609,12,24
71,mha_bwd_d128,timeout,0.2472,144,593,34,0
72,mha_bwd_d128,runtime_error,0.2646,131,466,2,51
73,mha_bwd_d128,runtime_error,0.2919,202,556,16,6
74,mha_bwd_d128,numerical_error,0.2835,177,718,3,2
75,mha_bwd_d128,runtime_error,0.3296,206,780,74,2
76,mha_bwd_d128,timeout,0.3665,156,334,13,37
77,mha_bwd_d128,timeout,0.2724,103,421,2,61
78,mha_bwd_d128,compile_error,0.0832,42,664,1,38
79,mha_bwd_d128_causal,runtime_error,0.2054,107,485,4,72
80,mha_bwd_d128_causal,runtime_error,0.1499,78,627,2,44
81,mha_bwd_d128_causal,runtime_error,0.115,56,649,15,1
82,mha_bwd_d128_causal,compile_error,0.1715,60,399,2,16
83,mha_bwd_d128_causal,runtime_error,0.2507,90,388,6,6
84,mha_bwd_d128_causal,compile_error,0.1992,68,450,22,45
85,mha_bwd_d128_causal,timeout,0.2983,134,377,16,23
86,mha_bwd_d128_causal,compile_error,0.1379,50,532,0,3
87,mha_bwd_d128_causal,compile_error,0.1584,50,468,2,3
88,mha_bwd_d128_causal,runtime_error,0.3197,138,414,16,58
89,mha_bwd_d128_causal,timeout,0.311,136,319,38,139
90,mha_bwd_d128_causal,timeout,0.4378,241,445,18,44
91,mha_bwd_d128_causal,timeout,0.3499,170,428,70,38
92,mha_bwd_d128_causal,runtime_error,0.4653,207,338,0,50
93,mha_bwd_d128_causal,runtime_error,0.4536,219,409,9,5
94,mha_bwd_d128_causal,timeout,0.873,471,87,2,12
95,mha_bwd_d128_causal,runtime_error,0.3015,76,314,92,127
96,mha_bwd_d128_causal,runtime_error,0.1436,63,476,1,184
97,mha_bwd_d128_causal,compile_error,0.2899,158,552,13,13
98,mha_bwd_d128_causal,runtime_error,0.2639,132,596,5,11
99,mha_bwd_d128_causal,compile_error,0.1466,80,729,4,5
100,mha_bwd_d128_causal,compile_error,0.2653,152,524,5,61
101,mha_bwd_d128_causal,runtime_error,0.2002,108,727,16,36
102,mha_bwd_d128_causal,timeout,0.232,134,400,400,41
103,mha_bwd_d128_causal,numerical_error,0.2467,119,598,29,32
104,mha_bwd_d128_causal,runtime_error,0.276,94,349,18,30
105,mha_bwd_d128_causal,runtime_error,0.3163,148,528,6,5
106,mha_bwd_d128_causal,runtime_error,0.3372,159,464,9,19
107,mha_bwd_d128_causal,runtime_error,0.1639,93,699,2,9
108,mha_bwd_d128_causal,compile_error,0.1668,77,608,11,2
109,mha_bwd_d128_causal,other,0.1408,71,384,174,170
110,mha_bwd_d128_causal,numerical_error,0.5211,314,325,12,18
111,mha_bwd_d128_causal,timeout,0.2087,91,487,0,5
112,mha_bwd_d128_causal,compile_error,0.2294,122,454,7,148
113,mha_bwd_d128_causal,timeout,0.4201,151,271,23,4
114,mha_bwd_d128_causal,timeout,0.3583,129,377,1,69
115,mha_bwd_d128_causal,numerical_error,0.4118,167,334,12,12
116,mha_bwd_d128_causal,timeout,0.3853,153,383,4,2
117,mha_with_lse_d128_causal,runtime_error,0.2301,91,411,0,0
118,mha_with_lse_d128_causal,compile_error,0.102,28,410,45,1
119,mha_with_lse_d128_causal,numerical_error,0.1117,49,498,9,38
120,mha_with_lse_d128_causal,runtime_error,0.4225,183,288,19,83
121,mha_with_lse_d128_causal,numerical_error,0.3263,124,336,2,62
122,mha_with_lse_d128_causal,runtime_error,0.3296,135,347,1,31
123,mha_with_lse_d128_causal,compile_error,0.3574,129,321,19,30
124,mha_with_lse_d128_causal,runtime_error,0.3284,134,399,6,20
125,mha_with_lse_d128_causal,numerical_error,0.4661,211,274,68,31
126,mha_with_lse_d128_causal,numerical_error,0.4086,191,306,1,47
127,mha_with_lse_d128_causal,timeout,0.3794,197,333,45,85
128,mha_with_lse_d128_causal,runtime_error,0.1406,60,607,1,23
129,mha_with_lse_d128_causal,runtime_error,0.3799,185,547,0,22
130,mha_with_lse_d128_causal,compile_error,0.6578,297,178,10,16
131,mha_with_lse_d128_causal,timeout,0.4818,187,272,17,3
132,mha_with_lse_d128_causal,runtime_error,0.3739,157,443,11,19
133,mha_with_lse_d128_causal,compile_error,0.5255,243,246,28,21
134,mha_with_lse_d128_causal,runtime_error,0.4538,218,317,25,37
135,mha_with_lse_d128_causal,numerical_error,0.2976,131,419,46,34
136,mha_with_lse_d128_causal,runtime_error,0.4554,169,257,40,0
137,mha_with_lse_d128_causal,runtime_error,0.5324,158,181,12,17
138,mha_with_lse_d128_causal,runtime_error,0.5714,167,146,8,5
139,mha_with_lse_d128_causal,timeout,0.3056,98,328,20,12
140,mha_with_lse_d128_causal,numerical_error,0.3333,119,336,1,6
141,mha_with_lse_d128_causal,timeout,0.6592,297,198,19,7
142,mha_with_lse_d128_causal,runtime_error,0.7087,326,146,21,10
143,mha_with_lse_d128_causal,compile_error,0.5142,237,308,4,24
144,mha_with_lse_d128_causal,compile_error,0.5612,256,218,10,27
145,mha_with_lse_d128_causal,timeout,0.5891,254,198,12,41
146,mha_with_lse_d128_causal,numerical_error,0.4945,224,355,67,42
147,mha_with_lse_d128_causal,numerical_error,0.731,306,126,9,0
148,mha_with_lse_d128_causal,numerical_error,0.5836,264,243,9,7
149,mha_with_lse_d128_causal,compile_error,0.1946,62,448,1,25
150,mha_with_lse_d128_causal,compile_error,0.1841,57,416,0,11
151,mha_with_lse_d128_causal,timeout,0.3173,123,408,13,17
152,mha_with_lse_d128_causal,compile_error,0.3502,124,319,6,11
153,mha_with_lse_d128_causal,runtime_error,0.3991,179,260,66,32
154,mha_with_lse_d128_causal,numerical_error,0.3352,148,450,51,14
155,mha_with_lse_d128_causal,runtime_error,0.1816,67,412,27,14
156,mha_with_lse_d128_causal,numerical_error,0.7923,429,126,24,29
157,mha_with_lse_d128_causal,compile_error,0.048,18,498,2,3
158,mha_with_lse_d128_causal,numerical_error,0.2719,108,373,36,10
