definition_name,workload_uuid,seq_len,status,latency_ms,reference_latency_ms,speedup_factor,max_absolute_error,max_relative_error
gdn_mtp_qk4_v8_d128_k_last,c6a1bd14-0184-4cc4-aaab-797addfe7cb2,4,PASSED,0.159195,0.15132816666666668,0.9505836657348954,0.0,0.0
gdn_mtp_qk8_v16_d128_k_last,6566fb83-8984-4302-b06a-bcfce489380d,4,PASSED,0.18219816666666666,0.18227816666666666,1.0004390823544693,0.0,0.0
gdn_mtp_qk8_v16_d128_k_last,abb382e5-6581-417e-ab6c-e5676b75d4e5,4,PASSED,0.1869335,0.18674183333333336,0.9989746799441157,0.0,0.0
gdn_mtp_qk8_v16_d128_k_last,86a4bbb1-d84f-412f-b86f-4b4afad586d3,4,PASSED,0.19416083333333334,0.19401633333333335,0.9992557716326242,0.0,0.0
gdn_mtp_qk8_v16_d128_k_last,816f154b-2767-4c45-8dae-b8797451ba83,4,PASSED,0.21228866666666665,0.2117975,0.9976863264799817,0.0,0.0
gdn_mtp_qk8_v16_d128_k_last,4c266399-6168-447d-b374-cfb1234e296c,4,PASSED,0.24331233333333335,0.24400049999999998,1.0028283262802131,0.0,0.0
gdn_mtp_qk8_v16_d128_k_last,7f04267b-6568-4ab2-86a8-af86399f3c7a,4,PASSED,0.2740116666666667,0.27338750000000006,0.9977221164548955,0.0,0.0
gdn_prefill_qk4_v8_d128_k_last,77daf91d-0660-4c4b-8c32-336a69281cd9,6,PASSED,0.196645,0.19822366666666666,1.0080280030850857,0.0,0.0
gdn_prefill_qk4_v8_d128_k_last,043e74e4-0297-4988-808a-0090be48a90e,32,PASSED,0.19758466666666666,0.20143483333333334,1.0194861612068413,0.0,0.0
gdn_prefill_qk4_v8_d128_k_last,5a91aa02-8cee-49f9-aa2b-145d6e254ee4,401,PASSED,0.22227816666666667,0.21224066666666666,0.9548426183708251,0.0,0.0
gdn_prefill_qk4_v8_d128_k_last,43bf9699-adb3-4161-b741-8ff07b553336,959,PASSED,0.24720566666666666,0.24164283333333333,0.977497144752615,0.0,0.0
gdn_prefill_qk4_v8_d128_k_last,109addb1-15e0-4ff2-9b39-df3e79746af0,3271,PASSED,0.33328050000000004,0.3373873333333333,1.0123224531088175,0.0,0.0
gdn_prefill_qk4_v8_d128_k_last,9a5d694b-7d4c-4ee6-8315-a13053ab6f92,8192,PASSED,0.3100326666666667,0.3172913333333333,1.023412586630656,0.0,0.0
gdn_prefill_qk8_v16_d128_k_last,d209184c-bd70-4e57-a0cc-93e696a87cfd,6,PASSED,0.2039048333333333,0.19901400000000002,0.9760141373140577,0.0,0.0
gdn_prefill_qk8_v16_d128_k_last,808ca40c-ed22-41f3-bd00-8a9e1e7866a0,32,PASSED,0.20027266666666665,0.19445966666666667,0.9709745713344141,0.0,0.0
gdn_prefill_qk8_v16_d128_k_last,089398ce-4d61-4ab5-8c50-4228e6dc1322,401,PASSED,0.21729600000000002,0.21620799999999998,0.9949930049333626,0.0,0.0
gdn_prefill_qk8_v16_d128_k_last,1a9da4c9-224e-4bfa-b221-fe1939ca5527,959,PASSED,0.23647483333333333,0.24136583333333336,1.0206829620347198,0.0,0.0
gdn_prefill_qk8_v16_d128_k_last,cdeb90ac-a29e-40a9-b7ea-8f18381b81ce,3271,PASSED,0.33692916666666667,0.3257825,0.9669168841126349,0.0,0.0
gdn_prefill_qk8_v16_d128_k_last,0ffac158-6956-44a6-861d-ed7133b6fe47,8192,PASSED,0.33421949999999995,0.3270085,0.9784243588420186,0.0,0.0
