definition_name,workload_uuid,M
gemm_n4096_k5376,d8351254-7238-4a42-8ace-b2251fb79467,232
gemm_n4096_k5376,532807be-d00f-43c8-ba66-a28abce9b749,901
gemm_n4096_k5376,65b82517-18ab-4c2a-b646-9af7a18376c2,2379
gemm_n4096_k5376,9c72992e-9eb5-4e53-8717-f65bd63b0f6d,8828
gemm_n5120_k17408,beca3253-547d-4f44-b2aa-60887d9625dc,70
gemm_n5120_k17408,a88ccad8-4557-42a3-aea9-2a13c73a2100,232
gemm_n5120_k17408,b09aaa64-1b27-4570-9b6c-a563f52f6f07,972
gemm_n5120_k17408,a9f50cd4-8b13-45c8-b291-78fae2d71ca1,2379
gemm_n5120_k17408,d0a8130f-0232-4a72-ad3e-f039ee61e422,8192
gemm_n5120_k2048,c7d685c6-bd5a-4198-9df4-b282fd976e02,93
gemm_n5120_k2048,34442751-7a39-4c04-b644-51d59670281b,289
gemm_n5120_k2048,e23cf1f3-9437-4a46-8fce-f4e286db5178,952
gemm_n5120_k2048,046247e6-9df1-4575-88f9-52948a88bdbd,8828
gemm_n5120_k2048,289bfc8a-6705-40fc-a686-863d3e8366e9,492
gemm_n5120_k5120,11ab1926-e149-46c9-b2ac-c86dbebdd33d,70
gemm_n5120_k5120,b5f2339a-17fd-4d29-8458-4af84de4b651,232
gemm_n5120_k5120,a9de4de4-83e8-442f-91da-e35410893ae4,972
gemm_n5120_k5120,f15e78a1-5384-42a5-b083-1c9215f925be,2379
gemm_n5120_k5120,dce8d493-6c73-4d36-b496-1850220bfef9,8192
gemm_n5376_k21504,80d2b284-c6e4-4a49-b659-955113f8d53a,70
gemm_n5376_k21504,7bceb835-d7a4-47b8-a153-49777b1e8215,232
gemm_n5376_k21504,da512063-1519-4978-a0c5-2d2b2e24bef9,901
gemm_n5376_k21504,1f61ba20-6dcb-4899-a950-3f77f7d80eab,2379
gemm_n5376_k21504,1e2cfcc9-dc1b-4320-b65c-5671a6de5281,8828
gemm_n5376_k4096,e53321e6-7e5e-4298-97d9-5f881cfb19b5,70
gemm_n5376_k4096,0e53987c-f21c-46fe-9a94-b74be561840b,232
gemm_n5376_k4096,1c40d939-0402-4672-a6e8-f03c5cf20f57,901
gemm_n5376_k4096,acb944b0-0ea2-4e63-821a-9feb813df347,2379
gemm_n5376_k4096,ca598395-dc0c-4f38-b35c-1d6429832e3d,8828
gemm_n6144_k4096,ba973a1f-ae70-4542-9456-1179812aa0a6,70
gemm_n6144_k4096,bfd9b353-4131-474b-8060-ca1d57c7c86e,232
gemm_n6144_k4096,35af8dd3-037e-4d78-ba39-61795bc40112,972
gemm_n6144_k4096,3c6254c6-20a6-459e-80e4-46d5d04b1762,2379
gemm_n6144_k4096,33a78bbf-0071-43b4-874b-60aee52b5f08,8192
gemm_n7168_k5120,3817345d-2b16-47dc-ae55-710bf42cfd86,70
gemm_n7168_k5120,9735fdff-8b8c-4579-a76b-b3e1f379f0c0,232
gemm_n7168_k5120,3cc93091-119c-4488-9bfe-5c8a0cceeb3e,972
gemm_n7168_k5120,bc048951-0252-4273-9d8b-a1e15e5f3ce0,2379
gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,8192
