scope,definition,workload,turn,group,model,turn_rows,correct_rows,correct_rate,compile_error_rate,runtime_error_rate,timeout_rate,reasoning_token_rows,mean_prompt_tokens,median_prompt_tokens,mean_completion_tokens,median_completion_tokens,mean_reasoning_tokens,median_reasoning_tokens,mean_reasoning_fraction,median_reasoning_fraction,mean_content_chars,median_content_chars,mean_provider_visible_chars,median_provider_visible_chars,mean_provider_reasoning_chars,median_provider_reasoning_chars,mean_pre_code_chars,median_pre_code_chars,mean_code_chars,median_code_chars,mean_feedback_chars,median_feedback_chars,mean_code_block_count,unclosed_think_turns
definition_by_turn,mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,5,baseline,Qwen3.6-27B,20,0,0.0,0.45,0.4,0.1,20,84135.45,79966.0,13484.05,11823.0,4533.65,1035.5,0.2257102592340515,0.11239818118608086,25960.75,21833.5,25960.75,21833.5,13879.15,4038.0,250.5,235.5,25335.55,21569.5,2270.4,1604.0,1.0,0
definition_by_turn,mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,6,baseline,Qwen3.6-27B,20,0,0.0,0.45,0.35,0.2,20,93827.8,90393.5,9483.75,9034.5,1447.8,1051.0,0.13269817099498846,0.1172145851689552,23057.35,22733.5,23057.35,22733.5,4958.6,3544.0,199.9,209.0,22395.0,22501.5,1706.65,1446.5,1.0,0
definition_by_turn,mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,7,baseline,Qwen3.6-27B,20,0,0.0,0.35,0.4,0.2,20,102457.45,99475.5,9982.1,8589.0,1675.5,828.0,0.1781309009394537,0.08748591367539743,23915.5,19786.0,23915.5,19786.0,5570.0,3147.0,167.95,132.0,23644.25,19607.5,1918.1,1532.0,1.05,0
definition_by_turn,mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,0,sft,Qwen3.6-27B-fixit-v2-glm,20,0,0.0,0.8,0.0,0.1,20,27626.6,27790.0,36047.95,35011.0,27262.8,27204.5,0.683802156390492,0.739550834778711,21851.55,24183.0,21851.55,24183.0,76042.1,76355.0,1.9,2.0,21432.7,24171.0,3010.35,1441.0,0.9,0
definition_by_turn,mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,1,sft,Qwen3.6-27B-fixit-v2-glm,20,0,0.0,0.45,0.2,0.15,20,37292.3,37866.0,35436.75,31376.0,25538.75,22622.5,0.6767476562387643,0.6786870864354498,24501.3,24185.0,24501.3,24185.0,72253.8,63689.0,1.9,2.0,24489.9,24173.0,2022.6,1702.0,0.95,0
definition_by_turn,mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,2,sft,Qwen3.6-27B-fixit-v2-glm,20,1,0.05,0.4,0.2,0.15,20,47955.1,48538.5,35752.8,28307.5,26005.65,17950.5,0.6549194908666633,0.6480147058636725,24022.3,24392.0,24022.3,24392.0,73070.55,50432.5,1.9,2.0,24010.9,24380.0,2619.1,1980.0,0.95,0
definition_by_turn,mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,3,sft,Qwen3.6-27B-fixit-v2-glm,20,0,0.0,0.3,0.2,0.3,20,58629.35,59322.5,35254.85,35073.0,25567.55,27329.5,0.6772152755886689,0.7177263953629837,23934.2,24192.0,23934.2,24192.0,72001.5,77261.5,1.8,2.0,23923.4,24180.0,1847.85,1910.5,0.9,0
definition_by_turn,mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,4,sft,Qwen3.6-27B-fixit-v2-glm,20,0,0.0,0.3,0.25,0.05,20,68961.25,67357.0,34602.65,30939.5,25222.05,22136.0,0.6535846416446476,0.6819865053124685,23385.0,24258.0,23385.0,24258.0,70300.6,62008.0,1.8,2.0,23374.2,24246.0,1916.65,1505.0,0.9,0
definition_by_turn,mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,5,sft,Qwen3.6-27B-fixit-v2-glm,20,1,0.05,0.05,0.3,0.2,20,79020.1,77375.0,29152.3,26676.0,18821.85,15434.0,0.6069727692665189,0.6248691193147635,25490.15,25677.0,25490.15,25677.0,51895.95,42440.5,1.9,2.0,25478.75,25665.0,1852.85,1792.0,0.95,0
definition_by_turn,mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,6,sft,Qwen3.6-27B-fixit-v2-glm,20,1,0.05,0.15,0.3,0.15,20,90042.3,88770.5,34414.5,32843.0,23079.5,21418.0,0.6447705588701751,0.6758199678135871,27925.95,26258.5,27925.95,26258.5,64687.8,61228.0,2.0,2.0,27913.95,26246.5,2606.0,1881.5,1.0,0
definition_by_turn,mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,7,sft,Qwen3.6-27B-fixit-v2-glm,20,1,0.05,0.05,0.5,0.1,20,102270.0,100544.5,31144.75,27184.0,20120.75,16599.5,0.6007317612939672,0.5984461354639925,27687.7,27388.5,27687.7,27388.5,55885.55,46688.0,2.0,2.0,27675.7,27376.5,2118.75,2053.5,1.0,0
definition_by_turn,mha_bwd_d128_causal,c119b3f0-c051-5e96-9c2a-2268d992fe1a,0,baseline,Qwen3.6-27B,20,0,0.0,0.7,0.0,0.0,20,27627.6,27791.0,38957.85,34234.5,22209.1,6897.5,0.4899654976671378,0.43724937113786744,49929.1,22054.0,49929.1,22054.0,67837.05,27832.5,375.8,338.5,46205.05,20817.5,1037.45,541.5,2.9,0
definition_by_turn,mha_bwd_d128_causal,c119b3f0-c051-5e96-9c2a-2268d992fe1a,1,baseline,Qwen3.6-27B,20,0,0.0,0.5,0.15,0.15,20,44663.05,36247.0,12798.4,9442.5,3307.45,1913.0,0.2677749666669419,0.17760765269121342,28191.7,17256.5,28191.7,17256.5,11020.15,8079.5,193.35,111.0,23224.35,16053.0,1325.15,1301.0,3.7,0
definition_by_turn,mha_bwd_d128_causal,c119b3f0-c051-5e96-9c2a-2268d992fe1a,2,baseline,Qwen3.6-27B,20,0,0.0,0.55,0.25,0.1,20,54593.65,47579.0,16508.75,11757.5,7216.75,2835.5,0.3341186524831177,0.2436404145597416,27751.55,20660.0,27751.55,20660.0,22388.25,11784.0,242.25,201.0,27226.5,20395.0,1427.15,1442.5,1.3,0
definition_by_turn,mha_bwd_d128_causal,c119b3f0-c051-5e96-9c2a-2268d992fe1a,3,baseline,Qwen3.6-27B,20,0,0.0,0.7,0.0,0.1,20,64354.55,57052.5,15506.15,10847.0,6494.65,2125.5,0.3151771370789414,0.2339575264546307,25889.6,20625.5,25889.6,20625.5,19501.95,8641.0,171.2,100.0,25600.6,20452.0,3119.85,1590.5,1.25,0
definition_by_turn,mha_bwd_d128_causal,c119b3f0-c051-5e96-9c2a-2268d992fe1a,4,baseline,Qwen3.6-27B,20,0,0.0,0.55,0.0,0.0,20,74311.75,71436.5,12181.8,8453.5,4093.55,685.0,0.2093794259038544,0.1274150490553659,23101.4,22420.0,23101.4,22420.0,12855.05,2494.0,157.85,126.5,21715.7,22228.0,1430.8,1363.5,1.05,0
definition_by_turn,mha_bwd_d128_causal,c119b3f0-c051-5e96-9c2a-2268d992fe1a,5,baseline,Qwen3.6-27B,20,0,0.0,0.4,0.0,0.0,20,82901.1,81212.0,9513.95,9309.5,1700.1,808.0,0.17734122716167106,0.08672053709403277,22767.1,22698.5,22767.1,22698.5,6514.75,3291.5,217.05,196.0,21313.85,21929.5,2727.7,1898.0,1.0,0
definition_by_turn,mha_bwd_d128_causal,c119b3f0-c051-5e96-9c2a-2268d992fe1a,6,baseline,Qwen3.6-27B,20,0,0.0,0.5,0.05,0.0,20,91650.9,91268.0,8091.3,8265.0,1242.8,732.0,0.13552098936335896,0.09694555905002153,19492.35,21288.0,19492.35,21288.0,4649.25,2804.5,217.35,196.5,17204.85,20297.0,2924.5,1682.5,0.9,0
definition_by_turn,mha_bwd_d128_causal,c119b3f0-c051-5e96-9c2a-2268d992fe1a,7,baseline,Qwen3.6-27B,20,0,0.0,0.3,0.0,0.0,20,99598.5,99901.5,7666.6,7951.5,1506.2,623.5,0.1766272124054513,0.07214457045716971,17682.5,20244.5,17682.5,20244.5,5244.15,2290.0,175.1,179.5,16554.85,20013.0,1923.0,1712.5,0.9,0
definition_by_turn,mha_bwd_d128_causal,c119b3f0-c051-5e96-9c2a-2268d992fe1a,0,sft,Qwen3.6-27B-fixit-v2-glm,20,0,0.0,0.7,0.2,0.05,20,27627.6,27791.0,46911.25,41094.5,37762.3,32537.0,0.7517749720822425,0.7649290575550958,23032.4,23725.5,23032.4,23725.5,108064.9,94714.0,1.9,2.0,22597.3,23713.5,3917.35,2468.0,0.9,0
definition_by_turn,mha_bwd_d128_causal,c119b3f0-c051-5e96-9c2a-2268d992fe1a,1,sft,Qwen3.6-27B-fixit-v2-glm,20,0,0.0,0.6,0.2,0.1,20,37957.0,38279.5,33043.85,32402.0,23482.8,22188.5,0.6646349795424303,0.707453203243573,24093.35,23160.0,24093.35,23160.0,65952.45,64747.0,2.0,2.0,24081.35,23148.0,2644.15,1682.5,1.0,0
definition_by_turn,mha_bwd_d128_causal,c119b3f0-c051-5e96-9c2a-2268d992fe1a,2,sft,Qwen3.6-27B-fixit-v2-glm,20,1,0.05,0.25,0.35,0.1,20,48374.75,48008.5,32537.5,27724.0,23848.55,18983.5,0.6677437484681328,0.6540795617439592,21918.8,23012.0,21918.8,23012.0,67023.35,53294.0,1.9,2.0,21204.8,23000.0,2054.95,1541.0,0.9,0
