group,model,pair_key,arch,definition,workload,exp_dir,trajectory_id,turn,correctness,speedup,arch_tag,prompt_tokens,completion_tokens,total_tokens,reasoning_tokens,text_tokens,reasoning_fraction,content_chars,provider_visible_chars,provider_reasoning_chars,pre_code_chars,code_chars,code_block_count,think_block_chars,open_think_tags,close_think_tags,unclosed_think_tags,feedback_chars
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_000,10,Runtime error,0.0,,78336,2759,81095,,,,6300,6300,1247,184,6106,1,0,0,0,0,737
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_000,11,Numerical error,0.0,,81035,2795,83830,,,,5998,5998,1699,138,5850,1,0,0,0,0,621
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_000,12,Numerical error,0.0,,83604,2956,86560,,,,6327,6327,1349,188,6129,1,0,0,0,0,621
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_000,13,Numerical error,0.0,,86324,5198,91522,,,,6280,6280,8277,182,6088,1,0,0,0,0,621
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_000,14,Numerical error,0.0,,89014,6123,95137,,,,6025,6025,10184,188,5827,1,0,0,0,0,620
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_000,15,Numerical error,0.0,,91592,2665,94257,,,,5852,5852,889,146,5696,1,0,0,0,0,620
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_000,16,Compilation error,,,94181,3298,97479,,,,5950,5950,2311,155,5785,1,0,0,0,0,2224
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_000,17,Numerical error,0.0,,97244,2373,99617,,,,5896,5896,92,72,5814,1,0,0,0,0,620
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_000,18,Numerical error,0.0,,99833,2619,102452,,,,6222,6222,538,78,6134,1,0,0,0,0,621
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_000,19,Numerical error,0.0,,102523,9096,111619,,,,6002,6002,17899,191,5801,1,0,0,0,0,620
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_001,0,Compilation error,,,25741,40395,66136,,,,14761,14761,100474,334,14417,1,0,0,0,0,3271
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_001,1,Runtime error,0.0,,32330,5697,38027,,,,14621,14621,183,182,14429,1,0,0,0,0,2012
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_001,2,Numerical error,0.0,,38494,35112,73606,,,,15008,15008,91242,280,14718,1,0,0,0,0,653
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_001,3,Numerical error,0.0,,44433,16918,61351,,,,15011,15011,48008,338,14663,1,0,0,0,0,646
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_001,4,Runtime error,0.0,,50334,18563,68897,,,,13199,13199,41351,284,12905,1,0,0,0,0,680
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_001,5,Kernel Execution Timeout,0.0,,55084,5140,60224,,,,13256,13256,2224,155,13091,1,0,0,0,0,513
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_001,6,Kernel Execution Timeout,0.0,,59772,8611,68383,,,,12531,12531,18500,156,12365,1,0,0,0,0,546
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_001,7,Runtime error,0.0,,64176,8167,72343,,,,13424,13424,11527,298,13116,1,0,0,0,0,680
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_001,8,Runtime error,0.0,,68961,6837,75798,,,,13270,13270,7341,278,12982,1,0,0,0,0,680
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_001,9,Runtime error,0.0,,73758,9949,83707,,,,13204,13204,16650,221,12973,1,0,0,0,0,680
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_001,10,Runtime error,0.0,,78519,5580,84099,,,,13307,13307,3807,220,13077,1,0,0,0,0,680
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_001,11,Runtime error,0.0,,83282,10249,93531,,,,13350,13350,17643,324,13016,1,0,0,0,0,798
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_001,12,Compilation error,,,88079,4977,93056,,,,11587,11587,2798,255,11322,1,0,0,0,0,478
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_001,13,Runtime error,0.0,,92374,4124,96498,,,,11283,11283,216,113,11160,1,0,0,0,0,798
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_001,14,Runtime error,0.0,,96698,4691,101389,,,,11498,11498,1467,165,11323,1,0,0,0,0,798
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_001,15,Runtime error,0.0,,101095,4491,105586,,,,11450,11450,942,122,11318,1,0,0,0,0,694
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_001,16,Runtime error,0.0,,105462,6595,112057,,,,11638,11638,7763,193,11435,1,0,0,0,0,694
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_001,17,Runtime error,0.0,,109863,13285,123148,,,,11715,11715,28243,256,11449,1,0,0,0,0,694
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_001,18,Compilation error,,,114253,6365,120618,,,,11969,11969,7826,230,11729,1,0,0,0,0,10199
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_001,19,Runtime error,0.0,,122499,3659,126158,,,,9772,9772,195,161,9601,1,0,0,0,0,694
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_002,0,Compilation error,,,25741,15283,41024,,,,13633,13633,39898,458,13165,1,0,0,0,0,409
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_002,1,Extraction error,,,30584,3914,34498,,,,0,0,11332,0,0,0,0,0,0,0,174
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_002,2,Compilation error,,,30636,4442,35078,,,,12572,12572,384,2,12560,1,0,0,0,0,10198
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_002,3,Runtime error,0.0,,38731,12108,50839,,,,14112,14112,27351,202,13900,1,0,0,0,0,1141
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_002,4,Compilation error,,,44174,11720,55894,,,,16283,16283,17618,228,16045,1,0,0,0,0,1329
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_002,5,Compilation error,,,50189,4929,55118,,,,13360,13360,1289,151,13199,1,0,0,0,0,1060
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_002,6,Runtime error,0.0,,55115,4692,59807,,,,13370,13370,427,186,13174,1,0,0,0,0,2115
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_002,7,Runtime error,0.0,,60298,7458,67756,,,,13094,13094,13441,342,12742,1,0,0,0,0,2150
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_002,8,Runtime error,0.0,,65390,5338,70728,,,,13503,13503,3200,152,13341,1,0,0,0,0,2119
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_002,9,Numerical error,0.0,,70605,8136,78741,,,,13888,13888,11768,294,13584,1,0,0,0,0,736
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_002,10,Runtime error,0.0,,75594,16482,92076,,,,14261,14261,32891,355,13896,1,0,0,0,0,757
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_002,11,Runtime error,0.0,,80810,5849,86659,,,,13882,13882,2951,225,13647,1,0,0,0,0,757
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_002,12,Runtime error,0.0,,85871,4920,90791,,,,12869,12869,1816,192,12667,1,0,0,0,0,757
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_002,13,Numerical error,0.0,,90584,4181,94765,,,,8492,8492,4868,136,8346,1,0,0,0,0,601
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_002,14,Numerical error,0.0,,93723,7993,101716,,,,8666,8666,19874,212,8444,1,0,0,0,0,602
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_002,15,Numerical error,0.0,,96924,4116,101040,,,,9409,9409,2630,237,9162,1,0,0,0,0,601
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_002,16,Numerical error,0.0,,100370,4798,105168,,,,8631,8631,5195,207,8414,1,0,0,0,0,600
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_002,17,Numerical error,0.0,,103650,5220,108870,,,,7482,7482,7561,193,7279,1,0,0,0,0,600
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_002,18,Numerical error,0.0,,106622,5474,112096,,,,7898,7898,7568,118,7770,1,0,0,0,0,943
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_002,19,Numerical error,0.0,,109802,4968,114770,,,,8154,8154,7262,93,8051,1,0,0,0,0,841
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_003,0,Runtime error,0.0,,25741,22944,48685,,,,14129,14129,50427,265,13854,1,0,0,0,0,5018
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_003,1,Runtime error,0.0,,33056,11568,44624,,,,15897,15897,21151,404,15483,1,0,0,0,0,1195
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_003,2,Kernel Execution Timeout,0.0,,39704,10152,49856,,,,12167,12167,20483,312,11845,1,0,0,0,0,609
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_003,3,Compilation error,,,44867,5891,50758,,,,13122,13122,2647,290,12822,1,0,0,0,0,201
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_003,4,Compilation error,,,50165,5420,55585,,,,13078,13078,1453,214,12854,1,0,0,0,0,730
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_003,5,Runtime error,0.0,,55420,4934,60354,,,,11686,11686,1844,151,11525,1,0,0,0,0,741
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_003,6,Runtime error,0.0,,59961,8546,68507,,,,10616,10616,17643,115,10491,1,0,0,0,0,741
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_003,7,Compilation error,,,64025,6461,70486,,,,9452,9452,11500,105,9337,1,0,0,0,0,818
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_003,8,Numerical error,0.0,,67723,3122,70845,,,,7944,7944,591,73,7861,1,0,0,0,0,1016
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_003,9,Kernel Execution Timeout,0.0,,70990,3332,74322,,,,8911,8911,461,133,8768,1,0,0,0,0,583
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_003,10,Numerical error,0.0,,74422,3263,77685,,,,7045,7045,2230,123,6912,1,0,0,0,0,575
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_003,11,Kernel Execution Timeout,0.0,,77272,3609,80881,,,,7407,7407,2591,159,7238,1,0,0,0,0,583
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_003,12,Runtime error,0.0,,80246,4766,85012,,,,11353,11353,2247,154,11189,1,0,0,0,0,796
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_003,13,Runtime error,0.0,,84593,4458,89051,,,,11292,11292,1275,153,11129,1,0,0,0,0,741
