run,arch,definition,instruction,family,target_source,occurrences
2026-0422-1002,hopper,gemm_n7168_k5120,barrier.cluster.arrive,barrier.cluster.arrive,asm_code,31
2026-0422-1002,hopper,gemm_n7168_k5120,mapa.shared::cluster.u32,mapa,asm_code,29
2026-0422-1002,hopper,gemm_n7168_k5120,mbarrier.arrive.shared::cluster.b64,mbarrier.arrive,asm_code,29
2026-0422-1002,hopper,gemm_n7168_k5120,stmatrix.sync.aligned.x2.m8n8.shared.b16,stmatrix,asm_code,9
2026-0422-1002,hopper,gemm_n7168_k5120,barrier.cluster.wait,barrier.cluster.wait,asm_code,3
2026-0503-2313,hopper,mha_with_lse_h48_d128,__nv_bfloat16,cuda_intrinsic,comment_intrinsic,1398
2026-0503-2313,hopper,mha_with_lse_h48_d128,__grid_constant__,cuda_intrinsic,comment_intrinsic,397
2026-0503-2313,hopper,mha_with_lse_h48_d128,wgmma.mma_async.sync.aligned.m64n64k16.f32.bf16.bf16,wgmma.mma_async,asm_code,247
2026-0503-2313,hopper,mha_with_lse_h48_d128,__align__,cuda_intrinsic,comment_intrinsic,244
2026-0503-2313,hopper,mha_with_lse_h48_d128,__shared__,cuda_intrinsic,comment_intrinsic,179
2026-0503-2313,hopper,mha_with_lse_h48_d128,__global__,cuda_intrinsic,comment_intrinsic,128
2026-0503-2313,hopper,mha_with_lse_h48_d128,wgmma.fence.sync.aligned,wgmma.fence,asm_code,128
2026-0503-2313,hopper,mha_with_lse_h48_d128,wgmma.commit_group.sync.aligned,wgmma.commit_group,asm_code,128
2026-0503-2313,hopper,mha_with_lse_h48_d128,wgmma.wait_group.sync.aligned,wgmma.wait_group,asm_code,128
2026-0503-2313,hopper,mha_with_lse_h48_d128,mbarrier.init.shared.b64,mbarrier.init,asm_code,126
2026-0503-2313,hopper,mha_with_lse_h48_d128,mbarrier.arrive.expect_tx.shared::cta.b64,mbarrier.arrive.expect_tx,asm_code,126
2026-0503-2313,hopper,mha_with_lse_h48_d128,mbarrier.try_wait.parity.shared.b64,mbarrier.try_wait,asm_code,126
2026-0503-2313,hopper,mha_with_lse_h48_d128,bra,bra,asm_code,126
2026-0503-2313,hopper,mha_with_lse_h48_d128,fence.proxy.async,fence.proxy.async,asm_code,112
2026-0503-2313,hopper,mha_with_lse_h48_d128,mbarrier.arrive.shared::cta.b64,mbarrier.arrive,asm_code,101
2026-0503-2313,hopper,mha_with_lse_h48_d128,fence.mbarrier_init.release.cluster,fence.mbarrier_init,asm_code,96
2026-0503-2313,hopper,mha_with_lse_h48_d128,barrier.sync.aligned,barrier.sync,asm_code,96
2026-0503-2313,hopper,mha_with_lse_h48_d128,ex2.approx.ftz.f32,ex2,asm_code,79
2026-0503-2313,hopper,mha_with_lse_h48_d128,setmaxnreg.inc.sync.aligned.u32,setmaxnreg,asm_code,63
2026-0503-2313,hopper,mha_with_lse_h48_d128,cp.async.bulk.tensor.2d.shared::cluster.global.mbarrier::complete_tx::bytes,cp.async.bulk.tensor,asm_code,52
2026-0503-2313,hopper,mha_with_lse_h48_d128,fence.proxy.async.shared::cta,fence.proxy.async,asm_code,51
2026-0503-2313,hopper,mha_with_lse_h48_d128,cp.async.bulk.commit_group,cp.async.bulk,asm_code,37
2026-0503-2313,hopper,mha_with_lse_h48_d128,cp.async.bulk.wait_group,cp.async.bulk,asm_code,37
2026-0503-2313,hopper,mha_with_lse_h48_d128,stmatrix.sync.aligned.x2.m8n8.shared.b16,stmatrix,asm_code,30
2026-0503-2313,hopper,mha_with_lse_h48_d128,setmaxnreg.dec.sync.aligned.u32,setmaxnreg,asm_code,26
2026-0503-2313,hopper,mha_with_lse_h48_d128,mov.u32,mov,asm_code,7
2026-0503-2313,hopper,mha_with_lse_h48_d128,barrier.arrive.aligned,barrier.arrive,asm_code,5
2026-0503-2313,hopper,mha_with_lse_h48_d128,cp.async.bulk.tensor.2d.shared::cluster.global.mbarrier::complete_tx::bytes.multicast::cluster.L2::cache_hint,cp.async.bulk.tensor,asm_code,3
2026-0503-2313,hopper,mha_with_lse_h48_d128,cp.async.bulk.tensor.2d.global.shared::cta.tile.bulk_group,cp.async.bulk.tensor,asm_code,3
2026-0503-2313,hopper,mha_with_lse_h48_d128,barrier.cluster.arrive,barrier.cluster.arrive,asm_code,2
2026-0503-2313,hopper,mha_with_lse_h48_d128,mapa.shared::cluster.u32,mapa,asm_code,2
2026-0503-2313,hopper,mha_with_lse_h48_d128,mbarrier.arrive.shared::cluster.b64,mbarrier.arrive,asm_code,2
2026-0503-2313,hopper,mha_with_lse_h48_d128,prefetch.tensormap,prefetch.tensormap,asm_code,1
2026-0506-0930,hopper,mha_bwd_h48_d128,__nv_bfloat16,cuda_intrinsic,comment_intrinsic,4145
2026-0506-0930,hopper,mha_bwd_h48_d128,__grid_constant__,cuda_intrinsic,comment_intrinsic,605
2026-0506-0930,hopper,mha_bwd_h48_d128,__global__,cuda_intrinsic,comment_intrinsic,327
2026-0506-0930,hopper,mha_bwd_h48_d128,__align__,cuda_intrinsic,comment_intrinsic,323
2026-0506-0930,hopper,mha_bwd_h48_d128,__shared__,cuda_intrinsic,comment_intrinsic,254
2026-0506-0930,hopper,mha_bwd_h48_d128,wgmma.mma_async.sync.aligned.m64n64k16.f32.bf16.bf16,wgmma.mma_async,asm_code,242
2026-0506-0930,hopper,mha_bwd_h48_d128,wgmma.fence.sync.aligned,wgmma.fence,asm_code,121
2026-0506-0930,hopper,mha_bwd_h48_d128,wgmma.commit_group.sync.aligned,wgmma.commit_group,asm_code,121
2026-0506-0930,hopper,mha_bwd_h48_d128,wgmma.wait_group.sync.aligned,wgmma.wait_group,asm_code,121
2026-0506-0930,hopper,mha_bwd_h48_d128,mbarrier.init.shared.b64,mbarrier.init,asm_code,90
2026-0506-0930,hopper,mha_bwd_h48_d128,mbarrier.try_wait.parity.shared.b64,mbarrier.try_wait,asm_code,90
2026-0506-0930,hopper,mha_bwd_h48_d128,bra,bra,asm_code,90
2026-0506-0930,hopper,mha_bwd_h48_d128,mbarrier.arrive.expect_tx.shared::cta.b64,mbarrier.arrive.expect_tx,asm_code,89
2026-0506-0930,hopper,mha_bwd_h48_d128,fence.proxy.async,fence.proxy.async,asm_code,83
2026-0506-0930,hopper,mha_bwd_h48_d128,mbarrier.arrive.shared::cta.b64,mbarrier.arrive,asm_code,74
2026-0506-0930,hopper,mha_bwd_h48_d128,fence.mbarrier_init.release.cluster,fence.mbarrier_init,asm_code,68
2026-0506-0930,hopper,mha_bwd_h48_d128,fence.proxy.async.shared::cta,fence.proxy.async,asm_code,62
2026-0506-0930,hopper,mha_bwd_h48_d128,ex2.approx.ftz.f32,ex2,asm_code,61
2026-0506-0930,hopper,mha_bwd_h48_d128,setmaxnreg.inc.sync.aligned.u32,setmaxnreg,asm_code,51
2026-0506-0930,hopper,mha_bwd_h48_d128,barrier.sync.aligned,barrier.sync,asm_code,45
2026-0506-0930,hopper,mha_bwd_h48_d128,cp.async.bulk.tensor.2d.shared::cluster.global.mbarrier::complete_tx::bytes,cp.async.bulk.tensor,asm_code,43
2026-0506-0930,hopper,mha_bwd_h48_d128,cp.async.bulk.commit_group,cp.async.bulk,asm_code,19
2026-0506-0930,hopper,mha_bwd_h48_d128,cp.async.bulk.wait_group,cp.async.bulk,asm_code,19
2026-0506-0930,hopper,mha_bwd_h48_d128,stmatrix.sync.aligned.x2.m8n8.shared.b16,stmatrix,asm_code,19
2026-0506-0930,hopper,mha_bwd_h48_d128,setmaxnreg.dec.sync.aligned.u32,setmaxnreg,asm_code,12
2026-0506-0930,hopper,mha_bwd_h48_d128,cp.async.bulk.tensor.2d.global.shared::cta.tile.bulk_group,cp.async.bulk.tensor,asm_code,6
2026-0506-0930,hopper,mha_bwd_h48_d128,elect.sync,elect,asm_code,6
2026-0506-0930,hopper,mha_bwd_h48_d128,selp.b32,selp,asm_code,6
2026-0507-2120,hopper,fp8_gemm_nt_1d2d_n4096_k7168,__nv_bfloat16,cuda_intrinsic,comment_intrinsic,714
2026-0507-2120,hopper,fp8_gemm_nt_1d2d_n4096_k7168,__grid_constant__,cuda_intrinsic,comment_intrinsic,427
2026-0507-2120,hopper,fp8_gemm_nt_1d2d_n4096_k7168,__shared__,cuda_intrinsic,comment_intrinsic,193
2026-0507-2120,hopper,fp8_gemm_nt_1d2d_n4096_k7168,bra,bra,asm_code,192
2026-0507-2120,hopper,fp8_gemm_nt_1d2d_n4096_k7168,mbarrier.init.shared.b64,mbarrier.init,asm_code,191
2026-0507-2120,hopper,fp8_gemm_nt_1d2d_n4096_k7168,mbarrier.arrive.expect_tx.shared::cta.b64,mbarrier.arrive.expect_tx,asm_code,191
2026-0507-2120,hopper,fp8_gemm_nt_1d2d_n4096_k7168,__global__,cuda_intrinsic,comment_intrinsic,191
2026-0507-2120,hopper,fp8_gemm_nt_1d2d_n4096_k7168,wgmma.commit_group.sync.aligned,wgmma.commit_group,asm_code,191
2026-0507-2120,hopper,fp8_gemm_nt_1d2d_n4096_k7168,wgmma.wait_group.sync.aligned,wgmma.wait_group,asm_code,191
2026-0507-2120,hopper,fp8_gemm_nt_1d2d_n4096_k7168,fence.mbarrier_init.release.cluster,fence.mbarrier_init,asm_code,190
2026-0507-2120,hopper,fp8_gemm_nt_1d2d_n4096_k7168,wgmma.fence.sync.aligned,wgmma.fence,asm_code,190
2026-0507-2120,hopper,fp8_gemm_nt_1d2d_n4096_k7168,mbarrier.try_wait.parity.shared.b64,mbarrier.try_wait,asm_code,187
2026-0507-2120,hopper,fp8_gemm_nt_1d2d_n4096_k7168,__align__,cuda_intrinsic,comment_intrinsic,166
2026-0507-2120,hopper,fp8_gemm_nt_1d2d_n4096_k7168,cp.async.bulk.tensor.2d.shared::cluster.global.mbarrier::complete_tx::bytes,cp.async.bulk.tensor,asm_code,161
2026-0507-2120,hopper,fp8_gemm_nt_1d2d_n4096_k7168,mbarrier.arrive.shared::cta.b64,mbarrier.arrive,asm_code,143
2026-0507-2120,hopper,fp8_gemm_nt_1d2d_n4096_k7168,fence.proxy.async,fence.proxy.async,asm_code,142
2026-0507-2120,hopper,fp8_gemm_nt_1d2d_n4096_k7168,setmaxnreg.inc.sync.aligned.u32,setmaxnreg,asm_code,118
2026-0507-2120,hopper,fp8_gemm_nt_1d2d_n4096_k7168,mov.u32,mov,asm_code,74
2026-0507-2120,hopper,fp8_gemm_nt_1d2d_n4096_k7168,prefetch.tensormap,prefetch.tensormap,asm_code,62
2026-0507-2120,hopper,fp8_gemm_nt_1d2d_n4096_k7168,cp.async.bulk.tensor.2d.shared::cluster.global.mbarrier::complete_tx::bytes.multicast::cluster.L2::cache_hint,cp.async.bulk.tensor,asm_code,54
2026-0507-2120,hopper,fp8_gemm_nt_1d2d_n4096_k7168,fence.proxy.async.shared::cta,fence.proxy.async,asm_code,45
2026-0507-2120,hopper,fp8_gemm_nt_1d2d_n4096_k7168,cp.async.bulk.tensor.2d.global.shared::cta.tile.bulk_group,cp.async.bulk.tensor,asm_code,45
2026-0507-2120,hopper,fp8_gemm_nt_1d2d_n4096_k7168,cp.async.bulk.commit_group,cp.async.bulk,asm_code,45
2026-0507-2120,hopper,fp8_gemm_nt_1d2d_n4096_k7168,cp.async.bulk.wait_group,cp.async.bulk,asm_code,45
2026-0507-2120,hopper,fp8_gemm_nt_1d2d_n4096_k7168,barrier.sync.aligned,barrier.sync,asm_code,40
2026-0507-2120,hopper,fp8_gemm_nt_1d2d_n4096_k7168,setmaxnreg.dec.sync.aligned.u32,setmaxnreg,asm_code,39
2026-0507-2120,hopper,fp8_gemm_nt_1d2d_n4096_k7168,barrier.cluster.arrive,barrier.cluster.arrive,asm_code,34
2026-0507-2120,hopper,fp8_gemm_nt_1d2d_n4096_k7168,mapa.shared::cluster.u32,mapa,asm_code,31
2026-0507-2120,hopper,fp8_gemm_nt_1d2d_n4096_k7168,mbarrier.arrive.shared::cluster.b64,mbarrier.arrive,asm_code,27
2026-0507-2120,hopper,fp8_gemm_nt_1d2d_n4096_k7168,mov.b32,mov,asm_code,22
2026-0507-2120,hopper,fp8_gemm_nt_1d2d_n4096_k7168,setp.ne.b32,setp,asm_code,11
2026-0507-2120,hopper,fp8_gemm_nt_1d2d_n4096_k7168,stmatrix.sync.aligned.x2.m8n8.shared.b16,stmatrix,asm_code,6
2026-0507-2120,hopper,fp8_gemm_nt_1d2d_n4096_k7168,barrier.cluster.wait,barrier.cluster.wait,asm_code,5
2026-0507-2120,hopper,fp8_gemm_nt_1d2d_n4096_k7168,mbarrier.arrive.expect_tx.shared::cluster.b64,mbarrier.arrive.expect_tx,asm_code,4
2026-0513-1125,blackwell,gemm_n7168_k5120,__nv_bfloat16,cuda_intrinsic,comment_intrinsic,282
2026-0513-1125,blackwell,gemm_n7168_k5120,__shared__,cuda_intrinsic,comment_intrinsic,71
2026-0513-1125,blackwell,gemm_n7168_k5120,__grid_constant__,cuda_intrinsic,comment_intrinsic,64
2026-0513-1125,blackwell,gemm_n7168_k5120,mov.u32,mov,asm_code,32
2026-0513-1125,blackwell,gemm_n7168_k5120,barrier.cluster.arrive,barrier.cluster.arrive,asm_code,32
2026-0513-1125,blackwell,gemm_n7168_k5120,mbarrier.init.shared.b64,mbarrier.init,asm_code,32
2026-0513-1125,blackwell,gemm_n7168_k5120,fence.mbarrier_init.release.cluster,fence.mbarrier_init,asm_code,32
2026-0513-1125,blackwell,gemm_n7168_k5120,mbarrier.try_wait.parity.shared.b64,mbarrier.try_wait,asm_code,32
2026-0513-1125,blackwell,gemm_n7168_k5120,bra,bra,asm_code,32
2026-0513-1125,blackwell,gemm_n7168_k5120,__global__,cuda_intrinsic,comment_intrinsic,32
2026-0513-1125,blackwell,gemm_n7168_k5120,__align__,cuda_intrinsic,comment_intrinsic,32
2026-0513-1125,blackwell,gemm_n7168_k5120,setp.ne.b32,setp,asm_code,31
2026-0513-1125,blackwell,gemm_n7168_k5120,setmaxnreg.inc.sync.aligned.u32,setmaxnreg,asm_code,24
2026-0513-1125,blackwell,gemm_n7168_k5120,mapa.shared::cluster.u32,mapa,asm_code,24
2026-0513-1125,blackwell,gemm_n7168_k5120,mbarrier.arrive.expect_tx.shared::cta.b64,mbarrier.arrive.expect_tx,asm_code,22
2026-0513-1125,blackwell,gemm_n7168_k5120,mbarrier.arrive.expect_tx.shared::cluster.b64,mbarrier.arrive.expect_tx,asm_code,22
2026-0513-1125,blackwell,gemm_n7168_k5120,prefetch.tensormap,prefetch.tensormap,asm_code,13
2026-0513-1125,blackwell,gemm_n7168_k5120,mov.b32,mov,asm_code,12
2026-0513-1125,blackwell,gemm_n7168_k5120,st.shared.v4.b32,st.shared,asm_code,10
2026-0513-1125,blackwell,gemm_n7168_k5120,fence.proxy.async.shared::cta,fence.proxy.async,asm_code,8
2026-0513-1125,blackwell,gemm_n7168_k5120,cp.async.bulk.tensor.2d.shared::cluster.global.mbarrier::complete_tx::bytes,cp.async.bulk.tensor,asm_code,2
2026-0513-2130,blackwell,mha_with_lse_h48_d128,__nv_bfloat16,cuda_intrinsic,comment_intrinsic,1333
2026-0513-2130,blackwell,mha_with_lse_h48_d128,__grid_constant__,cuda_intrinsic,comment_intrinsic,252
2026-0513-2130,blackwell,mha_with_lse_h48_d128,__align__,cuda_intrinsic,comment_intrinsic,194
2026-0513-2130,blackwell,mha_with_lse_h48_d128,__shared__,cuda_intrinsic,comment_intrinsic,152
2026-0513-2130,blackwell,mha_with_lse_h48_d128,setp.ne.b32,setp,asm_code,128
2026-0513-2130,blackwell,mha_with_lse_h48_d128,__global__,cuda_intrinsic,comment_intrinsic,96
2026-0513-2130,blackwell,mha_with_lse_h48_d128,mbarrier.init.shared.b64,mbarrier.init,asm_code,88
2026-0513-2130,blackwell,mha_with_lse_h48_d128,mbarrier.arrive.expect_tx.shared::cta.b64,mbarrier.arrive.expect_tx,asm_code,88
2026-0513-2130,blackwell,mha_with_lse_h48_d128,bra,bra,asm_code,88
2026-0513-2130,blackwell,mha_with_lse_h48_d128,mov.b32,mov,asm_code,87
2026-0513-2130,blackwell,mha_with_lse_h48_d128,mbarrier.try_wait.parity.shared.b64,mbarrier.try_wait,asm_code,86
2026-0513-2130,blackwell,mha_with_lse_h48_d128,ex2.approx.ftz.f32,ex2,asm_code,79
2026-0513-2130,blackwell,mha_with_lse_h48_d128,fence.mbarrier_init.release.cluster,fence.mbarrier_init,asm_code,72
2026-0513-2130,blackwell,mha_with_lse_h48_d128,fence.proxy.async.shared::cta,fence.proxy.async,asm_code,52
2026-0513-2130,blackwell,mha_with_lse_h48_d128,setmaxnreg.inc.sync.aligned.u32,setmaxnreg,asm_code,46
2026-0513-2130,blackwell,mha_with_lse_h48_d128,fence.proxy.async,fence.proxy.async,asm_code,39
2026-0513-2130,blackwell,mha_with_lse_h48_d128,cp.async.bulk.commit_group,cp.async.bulk,asm_code,24
2026-0513-2130,blackwell,mha_with_lse_h48_d128,cp.async.bulk.wait_group,cp.async.bulk,asm_code,24
2026-0513-2130,blackwell,mha_with_lse_h48_d128,st.shared.v4.b32,st.shared,asm_code,24
2026-0513-2130,blackwell,mha_with_lse_h48_d128,cp.async.bulk.tensor.2d.shared::cluster.global.mbarrier::complete_tx::bytes,cp.async.bulk.tensor,asm_code,16
2026-0513-2130,blackwell,mha_with_lse_h48_d128,mbarrier.arrive.shared::cta.b64,mbarrier.arrive,asm_code,13
2026-0513-2130,blackwell,mha_with_lse_h48_d128,setmaxnreg.dec.sync.aligned.u32,setmaxnreg,asm_code,8
2026-0513-2130,blackwell,mha_with_lse_h48_d128,cp.async.bulk.shared::cluster.global.mbarrier::complete_tx::bytes,cp.async.bulk,asm_code,8
2026-0513-2130,blackwell,mha_with_lse_h48_d128,barrier.sync.aligned,barrier.sync,asm_code,8
2026-0513-2130,blackwell,mha_with_lse_h48_d128,prefetch.tensormap,prefetch.tensormap,asm_code,4
2026-0513-2130,blackwell,mha_with_lse_h48_d128,mov.u32,mov,asm_code,1
2026-0517-1035,hopper,mha_with_lse_fp8,__grid_constant__,cuda_intrinsic,comment_intrinsic,90
2026-0517-1035,hopper,mha_with_lse_fp8,__shared__,cuda_intrinsic,comment_intrinsic,42
2026-0517-1035,hopper,mha_with_lse_fp8,mbarrier.init.shared.b64,mbarrier.init,asm_code,32
2026-0517-1035,hopper,mha_with_lse_fp8,mbarrier.arrive.expect_tx.shared::cta.b64,mbarrier.arrive.expect_tx,asm_code,32
2026-0517-1035,hopper,mha_with_lse_fp8,bra,bra,asm_code,32
2026-0517-1035,hopper,mha_with_lse_fp8,__global__,cuda_intrinsic,comment_intrinsic,32
2026-0517-1035,hopper,mha_with_lse_fp8,wgmma.fence.sync.aligned,wgmma.fence,asm_code,32
2026-0517-1035,hopper,mha_with_lse_fp8,wgmma.commit_group.sync.aligned,wgmma.commit_group,asm_code,32
2026-0517-1035,hopper,mha_with_lse_fp8,wgmma.wait_group.sync.aligned,wgmma.wait_group,asm_code,32
2026-0517-1035,hopper,mha_with_lse_fp8,fence.mbarrier_init.release.cluster,fence.mbarrier_init,asm_code,24
2026-0517-1035,hopper,mha_with_lse_fp8,mbarrier.arrive.shared::cta.b64,mbarrier.arrive,asm_code,24
2026-0517-1035,hopper,mha_with_lse_fp8,mbarrier.try_wait.parity.shared.b64,mbarrier.try_wait,asm_code,24
2026-0517-1035,hopper,mha_with_lse_fp8,ex2.approx.ftz.f32,ex2,asm_code,20
2026-0517-1035,hopper,mha_with_lse_fp8,fence.proxy.async.shared::cta,fence.proxy.async,asm_code,16
2026-0517-1035,hopper,mha_with_lse_fp8,fence.proxy.async,fence.proxy.async,asm_code,16
2026-0517-1035,hopper,mha_with_lse_fp8,barrier.sync.aligned,barrier.sync,asm_code,15
2026-0517-1035,hopper,mha_with_lse_fp8,setmaxnreg.inc.sync.aligned.u32,setmaxnreg,asm_code,13
2026-0517-1035,hopper,mha_with_lse_fp8,cp.async.bulk.tensor.2d.shared::cluster.global.mbarrier::complete_tx::bytes,cp.async.bulk.tensor,asm_code,11
2026-0517-1035,hopper,mha_with_lse_fp8,__align__,cuda_intrinsic,comment_intrinsic,8
2026-0517-1035,hopper,mha_with_lse_fp8,setmaxnreg.dec.sync.aligned.u32,setmaxnreg,asm_code,4
2026-0529-1040,blackwell,mha_with_lse_d128_causal,__nv_bfloat16,cuda_intrinsic,comment_intrinsic,370
2026-0529-1040,blackwell,mha_with_lse_d128_causal,__grid_constant__,cuda_intrinsic,comment_intrinsic,148
2026-0529-1040,blackwell,mha_with_lse_d128_causal,__shared__,cuda_intrinsic,comment_intrinsic,128
2026-0529-1040,blackwell,mha_with_lse_d128_causal,__align__,cuda_intrinsic,comment_intrinsic,64
2026-0529-1040,blackwell,mha_with_lse_d128_causal,setp.ne.b32,setp,asm_code,49
2026-0529-1040,blackwell,mha_with_lse_d128_causal,__global__,cuda_intrinsic,comment_intrinsic,40
2026-0529-1040,blackwell,mha_with_lse_d128_causal,mbarrier.init.shared.b64,mbarrier.init,asm_code,39
2026-0529-1040,blackwell,mha_with_lse_d128_causal,mbarrier.try_wait.parity.shared.b64,mbarrier.try_wait,asm_code,39
2026-0529-1040,blackwell,mha_with_lse_d128_causal,bra,bra,asm_code,39
2026-0529-1040,blackwell,mha_with_lse_d128_causal,fence.proxy.async.shared::cta,fence.proxy.async,asm_code,39
2026-0529-1040,blackwell,mha_with_lse_d128_causal,mov.b32,mov,asm_code,32
2026-0529-1040,blackwell,mha_with_lse_d128_causal,fence.mbarrier_init.release.cluster,fence.mbarrier_init,asm_code,32
2026-0529-1040,blackwell,mha_with_lse_d128_causal,mbarrier.arrive.expect_tx.shared::cta.b64,mbarrier.arrive.expect_tx,asm_code,31
2026-0529-1040,blackwell,mha_with_lse_d128_causal,cp.async.bulk.commit_group,cp.async.bulk,asm_code,31
2026-0529-1040,blackwell,mha_with_lse_d128_causal,cp.async.bulk.wait_group,cp.async.bulk,asm_code,31
2026-0529-1040,blackwell,mha_with_lse_d128_causal,ex2.approx.ftz.f32,ex2,asm_code,27
2026-0529-1040,blackwell,mha_with_lse_d128_causal,fence.proxy.async,fence.proxy.async,asm_code,15
2026-0529-1040,blackwell,mha_with_lse_d128_causal,st.shared.v4.b32,st.shared,asm_code,13
2026-0529-1040,blackwell,mha_with_lse_d128_causal,setmaxnreg.inc.sync.aligned.u32,setmaxnreg,asm_code,10
2026-0529-1040,blackwell,mha_with_lse_d128_causal,mbarrier.arrive.shared::cta.b64,mbarrier.arrive,asm_code,8
2026-0529-1040,blackwell,mha_with_lse_d128_causal,cp.async.bulk.tensor.2d.shared::cluster.global.mbarrier::complete_tx::bytes,cp.async.bulk.tensor,asm_code,2
2026-0529-1040,blackwell,mha_with_lse_d128_causal,cp.async.bulk.tensor.2d.global.shared::cta.tile.bulk_group,cp.async.bulk.tensor,asm_code,2
2026-0529-1040,blackwell,mha_with_lse_d128_causal,elect.sync,elect,asm_code,1
2026-0529-1040,blackwell,mha_with_lse_d128_causal,selp.b32,selp,asm_code,1
2026-0529-1900-complete,blackwell,mha_with_lse_d128,__nv_bfloat16,cuda_intrinsic,comment_intrinsic,1276
2026-0529-1900-complete,blackwell,mha_with_lse_d128,__grid_constant__,cuda_intrinsic,comment_intrinsic,308
2026-0529-1900-complete,blackwell,mha_with_lse_d128,__shared__,cuda_intrinsic,comment_intrinsic,237
2026-0529-1900-complete,blackwell,mha_with_lse_d128,setp.ne.b32,setp,asm_code,132
2026-0529-1900-complete,blackwell,mha_with_lse_d128,__align__,cuda_intrinsic,comment_intrinsic,128
2026-0529-1900-complete,blackwell,mha_with_lse_d128,__global__,cuda_intrinsic,comment_intrinsic,97
2026-0529-1900-complete,blackwell,mha_with_lse_d128,mbarrier.init.shared.b64,mbarrier.init,asm_code,94
2026-0529-1900-complete,blackwell,mha_with_lse_d128,mbarrier.arrive.expect_tx.shared::cta.b64,mbarrier.arrive.expect_tx,asm_code,94
2026-0529-1900-complete,blackwell,mha_with_lse_d128,mbarrier.try_wait.parity.shared.b64,mbarrier.try_wait,asm_code,94
2026-0529-1900-complete,blackwell,mha_with_lse_d128,bra,bra,asm_code,94
2026-0529-1900-complete,blackwell,mha_with_lse_d128,mov.b32,mov,asm_code,84
2026-0529-1900-complete,blackwell,mha_with_lse_d128,fence.proxy.async.shared::cta,fence.proxy.async,asm_code,82
2026-0529-1900-complete,blackwell,mha_with_lse_d128,fence.mbarrier_init.release.cluster,fence.mbarrier_init,asm_code,75
2026-0529-1900-complete,blackwell,mha_with_lse_d128,setmaxnreg.inc.sync.aligned.u32,setmaxnreg,asm_code,62
