run,kind,metric,n,mean,p10,p25,median,p75,p90,max
2026-0427-1550,pattern_analysis,within_matrix_offdiag,1128,0.7537402660166515,0.5130890011787415,0.7080997228622437,0.7889447212219238,0.881699338555336,0.9562995731830597,1.2886598110198975
2026-0427-1550,pattern_analysis,turn_to_turn,56,0.17566071428571428,0.0,0.0,0.0776,0.193425,0.42235,1.0815
2026-0427-2022,pattern_analysis,within_matrix_offdiag,1431,0.7238477332361959,0.47999998927116394,0.7187738716602325,0.7842105031013489,0.8385416865348816,0.8707482814788818,1.0679612159729004
2026-0427-2022,pattern_analysis,turn_to_turn,56,0.1429035714285714,0.0,0.018349999999999998,0.0944,0.168925,0.3752,0.754
2026-0422-1002,pattern_analysis_correct,within_matrix_offdiag,4371,0.6426486460744714,0.46341463923454285,0.5735294222831726,0.6666666865348816,0.7352941036224365,0.7894737124443054,1.0099010467529297
2026-0422-1002,pattern_analysis_correct,turn_to_turn,70,0.22646714285714287,0.07662,0.148175,0.2,0.308525,0.39698000000000006,0.7
2026-0422-2352_complete,pattern_analysis_correct,within_matrix_offdiag,946,0.671459985379106,0.4536878317594528,0.5882353186607361,0.6894221901893616,0.7843137383460999,0.8624070286750793,1.1041666269302368
2026-0422-2352_complete,pattern_analysis_correct,turn_to_turn,24,0.15355833333333332,0.004770000000000004,0.0414,0.12505,0.20047500000000001,0.39374,0.42
2026-0424-1603,pattern_analysis_correct,within_matrix_offdiag,6,0.6011332323153814,0.4266055077314377,0.6038133651018143,0.6495799124240875,0.6842793524265289,0.7272142767906189,0.7663551568984985
2026-0424-1603,pattern_analysis_correct,turn_to_turn,1,0.2569,0.2569,0.2569,0.2569,0.2569,0.2569,0.2569
2026-0424-1728,pattern_analysis_correct,within_matrix_offdiag,105,0.6207461533801896,0.2000000059604645,0.5517241358757019,0.7058823704719543,0.7606837749481201,0.8074587345123292,0.8632478713989258
2026-0424-1728,pattern_analysis_correct,turn_to_turn,11,0.2731727272727273,0.1048,0.1085,0.2388,0.4094,0.4183,0.5408
2026-0424-2032,pattern_analysis_correct,within_matrix_offdiag,276,0.6860029598819497,0.5385154187679291,0.630163699388504,0.6964848339557648,0.7965638637542725,0.8600978553295135,1.0080000162124634
2026-0424-2032,pattern_analysis_correct,turn_to_turn,12,0.19901666666666665,0.03514,0.092875,0.2107,0.25175,0.33164,0.5034
2026-0426-1646,pattern_analysis_correct,within_matrix_offdiag,210,0.6426695930815879,0.4909233301877976,0.571653202176094,0.6694915294647217,0.75,0.8227125108242035,0.9576271176338196
2026-0426-1646,pattern_analysis_correct,turn_to_turn,14,0.15222857142857144,0.017130000000000003,0.09455,0.12785,0.1812,0.3252000000000002,0.4524
2026-0427-1550,pattern_analysis_correct,within_matrix_offdiag,28,0.8789026694638389,0.6643818736076356,0.763819083571434,0.8888888955116272,0.9803664982318878,1.174724268913269,1.2592592239379883
2026-0427-1550,pattern_analysis_correct,turn_to_turn,1,0.6915,0.6915,0.6915,0.6915,0.6915,0.6915,0.6915
2026-0427-2022,pattern_analysis_correct,within_matrix_offdiag,6,0.7417622158924738,0.5964052230119705,0.7254901826381683,0.7781733572483063,0.8372076004743576,0.8507080674171448,0.8588235378265381
2026-0427-2022,pattern_analysis_correct,turn_to_turn,1,0.4706,0.4706,0.4706,0.4706,0.4706,0.4706,0.4706
