series,distance,pdf,bandwidth
Adjacent turn edits in 2026-0420-2305,0.127025449,2.79105632,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.12867513,2.78571557,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.130324811,2.78012944,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.131974492,2.77429964,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.133624173,2.76822805,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.135273854,2.76191672,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.136923536,2.75536795,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.138573217,2.7485843,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.140222898,2.7415687,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.141872579,2.7343244,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.14352226,2.72685508,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.145171941,2.71916483,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.146821622,2.7112582,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.148471304,2.70314019,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.150120985,2.6948163,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.151770666,2.68629249,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.153420347,2.67757524,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.155070028,2.66867148,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.156719709,2.65958862,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.158369391,2.65033453,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.160019072,2.6409175,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.161668753,2.63134622,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.163318434,2.62162975,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.164968115,2.6117775,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.166617796,2.60179915,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.168267477,2.5917046,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.169917159,2.58150399,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.17156684,2.57120756,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.173216521,2.56082563,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.174866202,2.55036855,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.176515883,2.53984662,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.178165564,2.52927002,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.179815246,2.51864878,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.181464927,2.50799269,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.183114608,2.4973112,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.184764289,2.48661345,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.18641397,2.47590811,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.188063651,2.46520337,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.189713332,2.45450687,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.191363014,2.44382565,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.193012695,2.43316607,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.194662376,2.42253381,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.196312057,2.41193375,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.197961738,2.40137003,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.199611419,2.3908459,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.2012611,2.38036379,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.202910782,2.36992522,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.204560463,2.3595308,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.206210144,2.34918022,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.207859825,2.33887222,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.209509506,2.32860462,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.211159187,2.31837432,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.212808869,2.30817725,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.21445855,2.29800847,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.216108231,2.28786215,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.217757912,2.27773157,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.219407593,2.2676092,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.221057274,2.25748672,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.222706955,2.24735506,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.224356637,2.23720442,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.226006318,2.22702439,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.227655999,2.21680394,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.22930568,2.20653149,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.230955361,2.19619502,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.232605042,2.18578207,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.234254724,2.17527986,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.235904405,2.16467533,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.237554086,2.15395521,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.239203767,2.14310612,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.240853448,2.13211461,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.242503129,2.12096725,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.24415281,2.10965073,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.245802492,2.09815186,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.247452173,2.08645772,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.249101854,2.07455568,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.250751535,2.06243349,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.252401216,2.05007934,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.254050897,2.03748191,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.255700578,2.02463047,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.25735026,2.01151488,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.258999941,1.99812572,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.260649622,1.98445425,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.262299303,1.97049254,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.263948984,1.95623344,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.265598665,1.94167069,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.267248347,1.92679891,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.268898028,1.91161362,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.270547709,1.8961113,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.27219739,1.8802894,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.273847071,1.86414635,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.275496752,1.84768157,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.277146433,1.83089548,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.278796115,1.81378952,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.280445796,1.79636612,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.282095477,1.77862873,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.283745158,1.76058178,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.285394839,1.74223068,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.28704452,1.7235818,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.288694202,1.70464247,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.290343883,1.68542091,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.291993564,1.66592628,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.293643245,1.64616855,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.295292926,1.62615856,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.296942607,1.60590792,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.298592288,1.58542903,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.30024197,1.56473497,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.301891651,1.54383953,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.303541332,1.52275712,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.305191013,1.50150273,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.306840694,1.4800919,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.308490375,1.45854067,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.310140056,1.43686553,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.311789738,1.41508333,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.313439419,1.39321131,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.3150891,1.37126698,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.316738781,1.34926809,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.318388462,1.32723261,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.320038143,1.30517861,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.321687825,1.28312428,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.323337506,1.26108784,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.324987187,1.23908751,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.326636868,1.21714142,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.328286549,1.19526763,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.32993623,1.17348402,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.331585911,1.15180826,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.333235593,1.13025778,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.334885274,1.10884972,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.336534955,1.08760086,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.338184636,1.06652761,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.339834317,1.04564597,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.341483998,1.02497145,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.343133679,1.00451909,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.344783361,0.984303368,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.346433042,0.964338208,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.348082723,0.944636927,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.349732404,0.925212213,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.351382085,0.90607609,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.353031766,0.887239898,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.354681448,0.868714265,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.356331129,0.85050909,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.35798081,0.832633519,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.359630491,0.815095933,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.361280172,0.79790393,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.362929853,0.781064314,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.364579534,0.764583088,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.366229216,0.748465447,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.367878897,0.732715772,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.369528578,0.71733763,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.371178259,0.702333777,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.37282794,0.687706162,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.374477621,0.673455931,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.376127303,0.659583443,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.377776984,0.646088276,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.379426665,0.632969246,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.381076346,0.620224425,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.382726027,0.60785116,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.384375708,0.595846097,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.386025389,0.584205208,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.387675071,0.572923815,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.389324752,0.561996626,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.390974433,0.551417763,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.392624114,0.541180799,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.394273795,0.531278794,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.395923476,0.521704334,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.397573157,0.512449569,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.399222839,0.503506258,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.40087252,0.494865809,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.402522201,0.486519324,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.404171882,0.478457646,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.405821563,0.4706714,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.407471244,0.463151044,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.409120926,0.455886911,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.410770607,0.44886926,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.412420288,0.442088319,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.414069969,0.435534332,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.41571965,0.429197603,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.417369331,0.423068544,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.419019012,0.417137715,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.420668694,0.411395864,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.422318375,0.405833975,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.423968056,0.400443298,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.425617737,0.395215392,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.427267418,0.390142156,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.428917099,0.385215863,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.430566781,0.380429187,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.432216462,0.375775236,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.433866143,0.371247569,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.435515824,0.366840221,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.437165505,0.362547722,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.438815186,0.35836511,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.440464867,0.354287941,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.442114549,0.350312303,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.44376423,0.346434816,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.445413911,0.342652636,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.447063592,0.338963453,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.448713273,0.335365485,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.450362954,0.331857472,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.452012635,0.328438662,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.453662317,0.325108797,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.455311998,0.321868097,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.456961679,0.318717235,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.45861136,0.315657319,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.460261041,0.312689861,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.461910722,0.309816752,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.463560404,0.307040228,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.465210085,0.304362838,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.466859766,0.301787409,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.468509447,0.299317011,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.470159128,0.296954914,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.471808809,0.294704555,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.47345849,0.292569493,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.475108172,0.290553369,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.476757853,0.288659865,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.478407534,0.286892662,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.480057215,0.285255397,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.481706896,0.283751626,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.483356577,0.282384776,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.485006259,0.281158112,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.48665594,0.280074692,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.488305621,0.279137335,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.489955302,0.278348578,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.491604983,0.277710648,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.493254664,0.277225424,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.494904345,0.27689441,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.496554027,0.276718705,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.498203708,0.276698976,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.499853389,0.276835436,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.50150307,0.277127824,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.503152751,0.277575385,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.504802432,0.278176855,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.506452113,0.278930452,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.508101795,0.279833862,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.509751476,0.280884236,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.511401157,0.282078188,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.513050838,0.28341179,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.514700519,0.284880581,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.5163502,0.28647957,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.517999882,0.288203244,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.519649563,0.290045582,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.521299244,0.292000069,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.522948925,0.294059712,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.524598606,0.296217064,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.526248287,0.298464239,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.527897968,0.300792944,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.52954765,0.303194502,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.531197331,0.305659884,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.532847012,0.308179732,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.534496693,0.310744403,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.536146374,0.313343992,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.537796055,0.315968373,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.539445737,0.318607233,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.541095418,0.321250111,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.542745099,0.323886432,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.54439478,0.326505548,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.546044461,0.329096778,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.547694142,0.331649441,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.549343823,0.3341529,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.550993505,0.336596597,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.552643186,0.338970092,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.554292867,0.3412631,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.555942548,0.343465526,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.557592229,0.345567501,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.55924191,0.347559418,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.560891591,0.349431961,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.562541273,0.351176141,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.564190954,0.352783321,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.565840635,0.354245249,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.567490316,0.35555408,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.569139997,0.356702404,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.570789678,0.35768327,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.57243936,0.3584902,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.574089041,0.359117215,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.575738722,0.35955885,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.577388403,0.359810163,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.579038084,0.359866756,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.580687765,0.359724778,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.582337446,0.359380936,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.583987128,0.358832502,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.585636809,0.358077314,0.0542234109
