run,task_definition,exp,feedback_after_turn,next_turn,rank,retrieved_definition,speedup,bm25,fixed_variants,current_behavior,next_behavior,best_fixed_kernel_path,source_error_kernel_path,correct_version,wrong_turn,trajectory_id,exp_dir
qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128,mha_bwd_d128,exp_001,5,6,1,mha_bwd_d128,0.13880119427381118,578.541,3,FAILED:INCORRECT_NUMERICALx1,PASSED speedup 0.136x,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_066/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128/kernels/exp_018/kernel_t2.cu,0,2,exp_066,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini
qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128,mha_bwd_d128,exp_001,7,8,1,mha_bwd_d128,0.13880119427381118,648.821,3,COMPILE_ERROR,NO_NEXT_EVAL_OBSERVED,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_066/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128/kernels/exp_018/kernel_t2.cu,0,2,exp_066,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini
qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128,mha_bwd_d128,exp_002,1,2,1,mha_bwd_d128_causal,0.0018116202510118106,80.801,1,FAILED:RUNTIME_ERRORx1,FAILED:INCORRECT_NUMERICALx1,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_120/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128-causal/kernels/exp_013/kernel_t1.cu,0,1,exp_120,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini
qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128,mha_bwd_d128,exp_002,2,3,1,mha_bwd_d128_causal,0.009969547835195842,241.435,2,FAILED:INCORRECT_NUMERICALx1,FAILED:INCORRECT_NUMERICALx1,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_104/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128-causal/kernels/exp_009/kernel_t0.cu,0,0,exp_104,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini
qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128,mha_bwd_d128,exp_002,3,4,1,mha_bwd_d128_causal,0.009969547835195842,247.092,2,FAILED:INCORRECT_NUMERICALx1,FAILED:INCORRECT_NUMERICALx1,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_104/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128-causal/kernels/exp_009/kernel_t0.cu,0,0,exp_104,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini
qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128,mha_bwd_d128,exp_002,4,5,1,mha_bwd_d128_causal,0.009969547835195842,247.092,2,FAILED:INCORRECT_NUMERICALx1,FAILED:INCORRECT_NUMERICALx1,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_104/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128-causal/kernels/exp_009/kernel_t0.cu,0,0,exp_104,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini
qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128,mha_bwd_d128,exp_002,5,6,1,mha_bwd_d128_causal,0.009969547835195842,247.231,2,FAILED:INCORRECT_NUMERICALx1,FAILED:INCORRECT_NUMERICALx1,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_104/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128-causal/kernels/exp_009/kernel_t0.cu,0,0,exp_104,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini
qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128,mha_bwd_d128,exp_002,6,7,1,mha_bwd_d128_causal,0.009969547835195842,249.913,2,FAILED:INCORRECT_NUMERICALx1,FAILED:INCORRECT_NUMERICALx1,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_104/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128-causal/kernels/exp_009/kernel_t0.cu,0,0,exp_104,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini
qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128,mha_bwd_d128,exp_002,7,8,1,mha_bwd_d128_causal,0.009969547835195842,249.913,2,FAILED:INCORRECT_NUMERICALx1,FAILED:RUNTIME_ERRORx1,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_104/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128-causal/kernels/exp_009/kernel_t0.cu,0,0,exp_104,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini
qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128,mha_bwd_d128,exp_002,8,9,1,mha_bwd_d128_causal,0.009690682471532845,184.547,1,FAILED:RUNTIME_ERRORx1,NO_NEXT_EVAL_OBSERVED,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_107/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128-causal/kernels/exp_009/kernel_t3.cu,0,3,exp_107,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini
qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128,mha_bwd_d128,exp_003,1,2,1,mha_bwd_d128,0.5469749415886447,64.0,1,FAILED:RUNTIME_ERRORx1,PASSED speedup 0.549x,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_041/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128/kernels/exp_012/kernel_t1.cu,0,1,exp_041,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini
qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128,mha_bwd_d128,exp_003,3,4,1,mha_bwd_d128,0.5469749415886447,264.674,1,COMPILE_ERROR,PASSED speedup 0.546x,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_041/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128/kernels/exp_012/kernel_t1.cu,0,1,exp_041,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini
qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128,mha_bwd_d128,exp_003,7,8,1,mha_bwd_d128,0.5469749415886447,273.249,1,COMPILE_ERROR,PASSED speedup 0.549x,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_041/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128/kernels/exp_012/kernel_t1.cu,0,1,exp_041,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini
qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128-causal,mha_bwd_d128_causal,exp_000,1,2,1,mha_bwd_d128_causal,0.009969547835195842,127.656,2,FAILED:RUNTIME_ERRORx1,FAILED:TIMEOUTx1,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_104/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128-causal/kernels/exp_009/kernel_t0.cu,0,0,exp_104,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini
qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128-causal,mha_bwd_d128_causal,exp_000,2,3,1,mha_bwd_d128,0.09465520830607273,75.401,2,FAILED:TIMEOUTx1,COMPILE_ERROR,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_026/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128/kernels/exp_007/kernel_t1.cu,0,1,exp_026,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini
qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128-causal,mha_bwd_d128_causal,exp_000,3,4,1,mha_bwd_d128,0.09465520830607273,479.481,2,COMPILE_ERROR,COMPILE_ERROR,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_026/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128/kernels/exp_007/kernel_t1.cu,0,1,exp_026,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini
qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128-causal,mha_bwd_d128_causal,exp_000,4,5,1,mha_bwd_d128,0.09465520830607273,478.637,2,COMPILE_ERROR,FAILED:TIMEOUTx1,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_026/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128/kernels/exp_007/kernel_t1.cu,0,1,exp_026,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini
qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128-causal,mha_bwd_d128_causal,exp_000,5,6,1,mha_bwd_d128,0.09465520830607273,478.637,2,FAILED:TIMEOUTx1,COMPILE_ERROR,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_026/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128/kernels/exp_007/kernel_t1.cu,0,1,exp_026,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini
qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128-causal,mha_bwd_d128_causal,exp_000,6,7,1,mha_bwd_d128,0.09465520830607273,492.469,2,COMPILE_ERROR,COMPILE_ERROR,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_026/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128/kernels/exp_007/kernel_t1.cu,0,1,exp_026,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini
qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128-causal,mha_bwd_d128_causal,exp_000,7,8,1,mha_bwd_d128,0.09465520830607273,478.637,2,COMPILE_ERROR,FAILED:TIMEOUTx1,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_026/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128/kernels/exp_007/kernel_t1.cu,0,1,exp_026,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini
qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128-causal,mha_bwd_d128_causal,exp_000,8,9,1,mha_bwd_d128,0.09465520830607273,478.637,2,FAILED:TIMEOUTx1,NO_NEXT_EVAL_OBSERVED,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_026/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128/kernels/exp_007/kernel_t1.cu,0,1,exp_026,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini
qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128-causal,mha_bwd_d128_causal,exp_001,1,2,1,mha_bwd_d128_causal,0.16992739982296007,58.667,1,COMPILE_ERROR,FAILED:TIMEOUTx1,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_074/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128-causal/kernels/exp_000/kernel_t3.cu,0,3,exp_074,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini
qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128-causal,mha_bwd_d128_causal,exp_001,2,3,1,mha_bwd_d128_causal,0.16992739982296007,83.652,1,FAILED:TIMEOUTx1,PASSED speedup 0.173x,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_074/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128-causal/kernels/exp_000/kernel_t3.cu,0,3,exp_074,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini
qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128-causal,mha_bwd_d128_causal,exp_001,4,5,1,mha_with_lse_d128,0.31027020244804865,206.68,2,FAILED:INCORRECT_NUMERICALx1,FAILED:RUNTIME_ERRORx1,/home/ubuntu/AccRL-exps/eval_runs/test-fixit-qwen36-27b-gemini/success/exp_010/kernel_v1.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-d128/kernels/exp_003/kernel_t0.cu,1,0,exp_010,/home/ubuntu/AccRL-exps/eval_runs/test-fixit-qwen36-27b-gemini
qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128-causal,mha_bwd_d128_causal,exp_001,5,6,1,mha_with_lse_d128,0.31027020244804865,220.184,2,FAILED:RUNTIME_ERRORx1,FAILED:INCORRECT_NUMERICALx1,/home/ubuntu/AccRL-exps/eval_runs/test-fixit-qwen36-27b-gemini/success/exp_010/kernel_v1.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-d128/kernels/exp_003/kernel_t0.cu,1,0,exp_010,/home/ubuntu/AccRL-exps/eval_runs/test-fixit-qwen36-27b-gemini
qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128-causal,mha_bwd_d128_causal,exp_001,6,7,1,mha_with_lse_d128,0.31027020244804865,220.184,2,FAILED:INCORRECT_NUMERICALx1,FAILED:RUNTIME_ERRORx1,/home/ubuntu/AccRL-exps/eval_runs/test-fixit-qwen36-27b-gemini/success/exp_010/kernel_v1.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-d128/kernels/exp_003/kernel_t0.cu,1,0,exp_010,/home/ubuntu/AccRL-exps/eval_runs/test-fixit-qwen36-27b-gemini
qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128-causal,mha_bwd_d128_causal,exp_001,7,8,1,mha_with_lse_d128,0.31027020244804865,220.184,2,FAILED:RUNTIME_ERRORx1,PASSED speedup 0.173x,/home/ubuntu/AccRL-exps/eval_runs/test-fixit-qwen36-27b-gemini/success/exp_010/kernel_v1.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-d128/kernels/exp_003/kernel_t0.cu,1,0,exp_010,/home/ubuntu/AccRL-exps/eval_runs/test-fixit-qwen36-27b-gemini
qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128-causal,mha_bwd_d128_causal,exp_002,1,2,1,mha_bwd_d128_causal,0.16992739982296007,103.135,1,COMPILE_ERROR,PASSED speedup 0.170x,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_074/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128-causal/kernels/exp_000/kernel_t3.cu,0,3,exp_074,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini
qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128-causal,mha_bwd_d128_causal,exp_002,3,4,1,mha_with_lse_d128,0.31027020244804865,203.787,2,COMPILE_ERROR,PASSED speedup 0.089x,/home/ubuntu/AccRL-exps/eval_runs/test-fixit-qwen36-27b-gemini/success/exp_010/kernel_v1.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-d128/kernels/exp_003/kernel_t0.cu,1,0,exp_010,/home/ubuntu/AccRL-exps/eval_runs/test-fixit-qwen36-27b-gemini
qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128-causal,mha_bwd_d128_causal,exp_002,5,6,1,mha_with_lse_d128,0.31027020244804865,218.18,2,COMPILE_ERROR,FAILED:INCORRECT_NUMERICALx1,/home/ubuntu/AccRL-exps/eval_runs/test-fixit-qwen36-27b-gemini/success/exp_010/kernel_v1.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-d128/kernels/exp_003/kernel_t0.cu,1,0,exp_010,/home/ubuntu/AccRL-exps/eval_runs/test-fixit-qwen36-27b-gemini
qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128-causal,mha_bwd_d128_causal,exp_002,6,7,1,mha_bwd_d128_causal,0.009690682471532845,216.91,1,FAILED:INCORRECT_NUMERICALx1,FAILED:INCORRECT_NUMERICALx1,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_107/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128-causal/kernels/exp_009/kernel_t3.cu,0,3,exp_107,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini
qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128-causal,mha_bwd_d128_causal,exp_002,7,8,1,mha_bwd_d128_causal,0.009690682471532845,220.729,1,FAILED:INCORRECT_NUMERICALx1,FAILED:TIMEOUTx1,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_107/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128-causal/kernels/exp_009/kernel_t3.cu,0,3,exp_107,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini
qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128-causal,mha_bwd_d128_causal,exp_002,8,9,1,mha_bwd_d128_causal,0.009690682471532845,987.188,1,FAILED:TIMEOUTx1,NO_NEXT_EVAL_OBSERVED,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_107/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128-causal/kernels/exp_009/kernel_t3.cu,0,3,exp_107,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini
qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128-causal,mha_bwd_d128_causal,exp_003,1,2,1,mha_bwd_d128,0.21441752313782178,82.302,1,COMPILE_ERROR,PASSED speedup 0.098x,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_007/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128/kernels/exp_002/kernel_t0.cu,0,0,exp_007,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini
qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128-causal,mha_bwd_d128_causal,exp_003,3,4,1,mha_bwd_d128,0.05481790546518846,229.794,1,FAILED:INCORRECT_NUMERICALx1,FAILED:INCORRECT_NUMERICALx1,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_009/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128/kernels/exp_002/kernel_t2.cu,0,2,exp_009,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini
qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128-causal,mha_bwd_d128_causal,exp_003,4,5,1,mha_bwd_d128,0.05481790546518846,413.856,1,FAILED:INCORRECT_NUMERICALx1,FAILED:INCORRECT_NUMERICALx1,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_009/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128/kernels/exp_002/kernel_t2.cu,0,2,exp_009,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini
